source,term_name,term_id,highlighted,adjusted_p_value,negative_log10_of_adjusted_p_value,term_size,query_size,intersection_size,effective_domain_size,intersections
GO:MF,catalytic activity,GO:0003824,TRUE,0.020221654,1.694183332,2347,141,68,7127,"P07236,P00950,P36159,P49095,Q03792,P38081,P33315,P38137,P40447,P00724,P04801,P38626,P32460,P32459,P38998,P40583,P38070,Q12512,Q08225,P40303,P38158,P38765,P16467,P38999,P40151,P53742,P53750,Q05926,P38714,P38712,Q12265,P53072,P39533,P11986,P47016,P41903,Q04487,Q04969,Q03557,Q02961,P32383,P32528,P38113,P38112,P27654,P38238,P23833,P52867,P32288,Q06408,P53538,P25566,P00815,Q06508,P32191,P40582,P43623,P43577,Q12378,P40017,P32481,P21524,P22803,P27999,P47137,P26725,P47002,Q04739"
GO:MF,ammonium transmembrane transporter activity,GO:0008519,TRUE,0.049865356,1.30220108,7,141,3,7127,"P32907,Q08902,P53390"
GO:BP,small molecule metabolic process,GO:0044281,TRUE,0.023587406,1.627319822,775,141,32,7127,"P00950,P49095,P33315,P38137,Q2V2P5,P32459,P38998,P16467,P38999,P25297,P33413,P53750,P38714,Q12265,P39533,P11986,P41903,P32383,P32528,P38113,Q05672,P32288,Q06408,P00815,P32191,P43623,P43577,P23900,P40017,P21524,P22803,P47137"
GO:BP,amide catabolic process,GO:0043605,TRUE,0.043406126,1.362448969,12,141,4,7127,"P32459,P33413,P47016,P32528"
GO:CC,intracellular anatomical structure,GO:0005622,TRUE,0.000283032,3.548164828,5222,141,126,7127,"Q08909,P07236,P00950,P36137,P36159,Q02455,Q03694,P49095,Q03792,P38081,P33315,P29366,P38313,P38137,P38334,P00724,Q2V2P5,P40496,P04801,P40186,P38626,P38998,P38070,Q03981,Q12512,Q08225,P40303,P32913,P40885,P38765,P16467,Q12259,Q99382,P32907,P53719,P38999,P25297,Q08457,P33413,P18888,P38736,P10080,P38734,Q3E769,P53851,P40151,P53742,P53743,Q05926,Q05905,Q05789,P38714,P38712,P38769,Q92325,Q12265,P50091,P50090,P24000,P53274,Q02260,P53072,P39533,P11986,P14359,P47016,P41903,Q04487,Q04305,P46680,Q04969,Q03557,Q02961,P32383,P38781,P38152,P32528,O13516,P38113,P38112,P14922,P27654,P38082,P38241,P38238,P23833,P52867,Q05672,P32288,Q06408,Q04410,P53538,P25566,P00815,P11709,P25376,P40049,P25359,P53390,Q06508,P32191,P40564,P40582,P43623,P43577,P38867,P01097,P10622,Q12378,Q03956,P23900,P40017,P32481,P21524,P53050,P22803,P48837,P27999,P47137,P21190,P47017,P26725,Q02820,P39529,P39723,Q04739"
GO:CC,cellular anatomical entity,GO:0110165,FALSE,0.002286882,2.640756299,5771,141,132,7127,"Q08909,P07236,P00950,P36137,P36159,Q02455,Q03694,P49095,Q03792,P38081,P33315,P29366,P38313,P38137,P38334,P00724,Q2V2P5,P40496,P04801,P40186,P38626,P32459,P38998,P40583,P38070,Q03981,Q12512,Q08225,P40303,P32913,P40885,P38158,P38765,P16467,Q12259,Q99382,P32907,P53719,P38999,P25297,Q08457,P33413,P18888,P38736,P10080,P38734,Q08902,Q3E769,P53851,P40151,P53742,P53743,Q05926,Q05905,Q05789,P38714,P38712,P38769,Q92325,Q12265,P50091,P50090,P24000,P53274,Q02260,P53072,P39533,P11986,P14359,P47016,P41903,Q04487,Q04305,P46680,Q04969,Q03557,Q02961,P32383,P38781,P38152,P32528,O13516,P38113,P38112,P14922,P27654,P38082,P38241,P38083,P38238,P23833,P52867,Q05672,P32288,Q06408,Q04410,P53538,P25566,P00815,P11709,P25376,P40049,P25359,P53390,Q06508,P32191,P40564,P40582,P43623,P43577,P38867,P01097,P10622,Q12378,Q03956,P23900,P40017,P32481,P21524,P53050,P22803,P48837,P27999,P47137,P21190,P47017,P26725,P47002,Q02820,P39529,P39723,Q04739"
GO:CC,cytoplasm,GO:0005737,FALSE,0.014878029,1.827454593,4444,141,109,7127,"Q08909,P07236,P00950,P36137,P36159,Q03694,P49095,Q03792,P38081,P33315,P29366,P38313,P38137,P38334,P00724,Q2V2P5,P40496,P04801,P40186,P38626,P38998,P38070,Q03981,Q12512,Q08225,P40303,P32913,P40885,P38765,P16467,Q99382,P32907,P53719,P38999,P25297,Q08457,P33413,P18888,P38736,P10080,P38734,Q3E769,P40151,P53743,Q05926,Q05905,Q05789,P38714,P38712,P38769,Q92325,Q12265,P50091,P50090,P24000,P53274,Q02260,P53072,P39533,P11986,P14359,P47016,P41903,Q04487,P46680,Q04969,Q03557,Q02961,P38152,P32528,O13516,P38113,P38112,P27654,P38238,P23833,P52867,Q05672,P32288,Q06408,Q04410,P25566,P00815,P11709,P25376,P40049,P25359,P53390,Q06508,P32191,P40564,P40582,P43623,P43577,P01097,P10622,Q12378,Q03956,P23900,P40017,P32481,P21524,P22803,P47137,P47017,P26725,Q02820,P39723,Q04739"
GO:CC,intracellular organelle,GO:0043229,FALSE,0.034040076,1.468009478,4679,141,112,7127,"P07236,P00950,P36137,P36159,Q02455,Q03694,P49095,P38081,P33315,P29366,P38313,P38137,P38334,P00724,Q2V2P5,P40496,P04801,P40186,P38626,P38998,P38070,Q03981,Q12512,Q08225,P40303,P32913,P40885,P38765,P16467,Q12259,Q99382,P32907,P25297,Q08457,P33413,P18888,P38736,P10080,P38734,Q3E769,P53851,P40151,P53742,P53743,Q05905,Q05789,P38714,P38712,P38769,Q92325,P50091,P24000,P53274,Q02260,P53072,P39533,P14359,P47016,P41903,Q04487,Q04305,P46680,Q04969,Q03557,Q02961,P32383,P38781,P38152,P32528,O13516,P38113,P38112,P14922,P38082,P38241,P23833,P52867,Q05672,P32288,Q06408,Q04410,P53538,P25566,P11709,P25376,P40049,P25359,P53390,Q06508,P32191,P40564,P40582,P43577,P38867,P01097,P10622,Q12378,Q03956,P23900,P32481,P21524,P53050,P22803,P48837,P27999,P47137,P21190,P47017,P26725,P39529,P39723,Q04739"
GO:CC,organelle,GO:0043226,FALSE,0.034479527,1.462438702,4680,141,112,7127,"P07236,P00950,P36137,P36159,Q02455,Q03694,P49095,P38081,P33315,P29366,P38313,P38137,P38334,P00724,Q2V2P5,P40496,P04801,P40186,P38626,P38998,P38070,Q03981,Q12512,Q08225,P40303,P32913,P40885,P38765,P16467,Q12259,Q99382,P32907,P25297,Q08457,P33413,P18888,P38736,P10080,P38734,Q3E769,P53851,P40151,P53742,P53743,Q05905,Q05789,P38714,P38712,P38769,Q92325,P50091,P24000,P53274,Q02260,P53072,P39533,P14359,P47016,P41903,Q04487,Q04305,P46680,Q04969,Q03557,Q02961,P32383,P38781,P38152,P32528,O13516,P38113,P38112,P14922,P38082,P38241,P23833,P52867,Q05672,P32288,Q06408,Q04410,P53538,P25566,P11709,P25376,P40049,P25359,P53390,Q06508,P32191,P40564,P40582,P43577,P38867,P01097,P10622,Q12378,Q03956,P23900,P32481,P21524,P53050,P22803,P48837,P27999,P47137,P21190,P47017,P26725,P39529,P39723,Q04739"
KEGG,Biosynthesis of secondary metabolites,KEGG:01110,FALSE,0.016743362,1.776157325,351,141,17,7127,"P00950,P49095,P33315,P00724,P38998,P16467,P38999,Q12265,P39533,P11986,P41903,Q04487,P38113,P00815,Q06508,P32191,P43623"
