"","x"
"1","SPGP_0CZ00630"
"2","SPGP_0CZ01040"
"3","SPGP_0CZ01520"
"4","SPGP_0CZ01730"
"5","SPGP_0CZ01840"
"6","SPGP_0CZ01860"
"7","SPGP_0CZ02570"
"8","SPGP_0CZ02870"
"9","SPGP_0DB00170"
"10","SPGP_0DB00280"
"11","SPGP_0DB00470"
"12","SPGP_0DB00600"
"13","SPGP_0DB01550"
"14","SPGP_0DB01760"
"15","SPGP_0DB01810"
"16","SPGP_0DB02000"
"17","SPGP_0DB03130"
"18","SPGP_0DB03230"
"19","SPGP_0DB03430"
"20","SPGP_0DB03440"
"21","SPGP_0DC00280"
"22","SPGP_0DC00650"
"23","SPGP_0DC00820"
"24","SPGP_0DC01720"
"25","SPGP_0DC01760"
"26","SPGP_0DC01900"
"27","SPGP_0DC02070"
"28","SPGP_0DC02600"
"29","SPGP_0DC03420"
"30","SPGP_0DC03470"
"31","SPGP_0DD00180"
"32","SPGP_0DD00650"
"33","SPGP_0DD00860"
"34","SPGP_0DD01210"
"35","SPGP_0DD01350"
"36","SPGP_0DD01730"
"37","SPGP_0DE00270"
"38","SPGP_0DE00570"
"39","SPGP_0DN00100"
"40","SPGP_0DN00140"
"41","SPGP_0DN00290"
"42","SPGP_0DN00320"
"43","SPGP_0DN00710"
"44","SPGP_0DN00880"
"45","SPGP_0DN01650"
"46","SPGP_0DN01670"
"47","SPGP_0DN01700"
"48","SPGP_0DN01730"
"49","SPGP_0DN01890"
"50","SPGP_0DN01990"
"51","SPGP_0DN02490"
"52","SPGP_0DN02720"
"53","SPGP_0DN03070"
"54","SPGP_0DN03510"
"55","SPGP_0K00160"
"56","SPGP_0K00170"
"57","SPGP_0K00430"
"58","SPGP_0K01560"
"59","SPGP_0K01570"
"60","SPGP_0K01700"
"61","SPGP_0K01760"
"62","SPGP_0K01830"
"63","SPGP_0K02120"
"64","SPGP_0K02670"
"65","SPGP_0DQ00130"
"66","SPGP_0DU00200"
"67","SPGP_0DU00290"
"68","SPGP_0DU00410"
"69","SPGP_0DU00420"
"70","SPGP_0DU00680"
"71","SPGP_0DU01010"
"72","SPGP_0DU01080"
"73","SPGP_0DU01740"
"74","SPGP_0DV00120"
"75","SPGP_0DV00560"
"76","SPGP_0DX00100"
"77","SPGP_0L01020"
"78","SPGP_0L01300"
"79","SPGP_0DZ00520"
"80","SPGP_0DZ00580"
"81","SPGP_0DZ00940"
"82","SPGP_0DZ01420"
"83","SPGP_0DZ01430"
"84","SPGP_0DZ01710"
"85","SPGP_0DZ01830"
"86","SPGP_0DZ02280"
"87","SPGP_0DZ02300"
"88","SPGP_0DZ02340"
"89","SPGP_0M00140"
"90","SPGP_0M00380"
"91","SPGP_0M00720"
"92","SPGP_0M00890"
"93","SPGP_0M01170"
"94","SPGP_0M02010"
"95","SPGP_0M02030"
"96","SPGP_0M02790"
"97","SPGP_0M03130"
"98","SPGP_0M03570"
"99","SPGP_0N00520"
"100","SPGP_0N00570"
"101","SPGP_0N00880"
