"","x"
"1","SPGP_0CZ00130"
"2","SPGP_0CZ00340"
"3","SPGP_0CZ00730"
"4","SPGP_0CZ02560"
"5","SPGP_0CZ02890"
"6","SPGP_0CZ03050"
"7","SPGP_0DB00910"
"8","SPGP_0DB01080"
"9","SPGP_0DB01420"
"10","SPGP_0DC01600"
"11","SPGP_0DC02160"
"12","SPGP_0DC02930"
"13","SPGP_0DC03030"
"14","SPGP_0DC03130"
"15","SPGP_0DC03430"
"16","SPGP_0DD00150"
"17","SPGP_0DD00160"
"18","SPGP_0DD00170"
"19","SPGP_0DD00760"
"20","SPGP_0DD00850"
"21","SPGP_0DD00960"
"22","SPGP_0DD01200"
"23","SPGP_0DD01270"
"24","SPGP_0DD01960"
"25","SPGP_0DD01980"
"26","SPGP_0DD02000"
"27","SPGP_0DD02050"
"28","SPGP_0DN01360"
"29","SPGP_0DN02930"
"30","SPGP_0K00180"
"31","SPGP_0K01110"
"32","SPGP_0K01300"
"33","SPGP_0K02820"
"34","SPGP_0DQ00100"
"35","SPGP_0DQ00110"
"36","SPGP_0DS00100"
"37","SPGP_0DU00310"
"38","SPGP_0DU00520"
"39","SPGP_0DU00950"
"40","SPGP_0DU01060"
"41","SPGP_0DU01460"
"42","SPGP_0DV00100"
"43","SPGP_0DV00210"
"44","SPGP_0DV00570"
"45","SPGP_0DX00200"
"46","SPGP_0L00750"
"47","SPGP_0L01420"
"48","SPGP_0L01510"
"49","SPGP_0L01570"
"50","SPGP_0L01600"
"51","SPGP_0L01620"
"52","SPGP_0DZ01030"
"53","SPGP_0DZ02290"
"54","SPGP_0EE00230"
"55","SPGP_0M00370"
"56","SPGP_0M00800"
"57","SPGP_0M01120"
"58","SPGP_0M03610"
"59","SPGP_0M03620"
"60","SPGP_0M03720"
"61","SPGP_0EL00110"
"62","SPGP_0EO00100"
"63","SPGP_0EQ00100"
"64","SPGP_0N00530"
"65","SPGP_0N01100"
"66","SPGP_0N01890"
"67","SPGP_0ET00190"
"68","SPGP_0P00820"
"69","SPGP_0P01110"
"70","SPGP_0P01390"
"71","SPGP_0P02000"
"72","SPGP_0P02320"
"73","SPGP_0Q00620"
"74","SPGP_0Q00630"
"75","SPGP_0Q01430"
"76","SPGP_0Q01640"
"77","SPGP_0Q02140"
"78","SPGP_0Q04870"
"79","SPGP_0R00220"
"80","SPGP_0R00630"
"81","SPGP_0R00640"
"82","SPGP_0R00880"
"83","SPGP_0R02160"
"84","SPGP_0S00930"
"85","SPGP_0S01090"
"86","SPGP_0S01780"
"87","SPGP_0S02020"
"88","SPGP_0S02030"
"89","SPGP_0S03330"
"90","SPGP_0S03390"
"91","SPGP_0T00120"
"92","SPGP_0U00710"
"93","SPGP_0U02200"
"94","SPGP_0V00870"
"95","SPGP_0V01060"
"96","SPGP_0W00170"
"97","SPGP_0W00960"
"98","SPGP_0W01140"
"99","SPGP_0W01570"
"100","SPGP_0W01590"
"101","SPGP_0W01850"
"102","SPGP_0W01860"
"103","SPGP_0W02300"
"104","SPGP_0W02310"
"105","SPGP_0W02320"
"106","SPGP_0W02330"
"107","SPGP_0W02340"
"108","SPGP_0W02590"
"109","SPGP_0W02950"
"110","SPGP_0W03570"
"111","SPGP_0W04410"
"112","SPGP_0X00430"
"113","SPGP_0Y00410"
"114","SPGP_0Y01660"
"115","SPGP_0Z02170"
"116","SPGP_0AA00140"
"117","SPGP_0AA00370"
"118","SPGP_0AA00400"
"119","SPGP_0AA00430"
"120","SPGP_0AA00440"
"121","SPGP_0AA00480"
"122","SPGP_0AA00510"
"123","SPGP_0AA01010"
"124","SPGP_0AC00580"
"125","SPGP_0AC00590"
"126","SPGP_0B00200"
"127","SPGP_0B00800"
"128","SPGP_0B01680"
"129","SPGP_0B02010"
"130","SPGP_0AE00400"
"131","SPGP_0AE00410"
"132","SPGP_0AE00460"
"133","SPGP_0AE00680"
"134","SPGP_0AH00100"
"135","SPGP_0AH00840"
"136","SPGP_0AI00100"
"137","SPGP_0AI00110"
"138","SPGP_0AI00460"
"139","SPGP_0C00660"
"140","SPGP_0C01110"
"141","SPGP_0C02850"
"142","SPGP_0C04120"
"143","SPGP_0AT00100"
"144","SPGP_0D00420"
"145","SPGP_0BF00180"
"146","SPGP_0BF00200"
"147","SPGP_0BF00270"
"148","SPGP_0E00990"
"149","SPGP_0E01000"
"150","SPGP_0E01500"
"151","SPGP_0F00440"
"152","SPGP_0F00530"
"153","SPGP_0F00800"
"154","SPGP_0F01630"
"155","SPGP_0F02040"
"156","SPGP_0F03280"
"157","SPGP_0G00110"
"158","SPGP_0G00650"
"159","SPGP_0G00680"
"160","SPGP_0G02540"
"161","SPGP_0G02700"
"162","SPGP_0G02840"
"163","SPGP_0G03270"
"164","SPGP_0G03280"
"165","SPGP_0H00740"
"166","SPGP_0H00880"
"167","SPGP_0I01080"
"168","SPGP_0I01550"
