"","x"
"1","SPGP_0CZ00200"
"2","SPGP_0CZ00410"
"3","SPGP_0CZ00640"
"4","SPGP_0CZ01470"
"5","SPGP_0CZ01540"
"6","SPGP_0CZ01850"
"7","SPGP_0CZ02040"
"8","SPGP_0CZ02520"
"9","SPGP_0CZ02690"
"10","SPGP_0CZ02710"
"11","SPGP_0CZ02840"
"12","SPGP_0DB00100"
"13","SPGP_0DB00410"
"14","SPGP_0DB00900"
"15","SPGP_0DB01240"
"16","SPGP_0DB01590"
"17","SPGP_0DB01630"
"18","SPGP_0DB01910"
"19","SPGP_0DB02030"
"20","SPGP_0DB02700"
"21","SPGP_0DB02740"
"22","SPGP_0DB03080"
"23","SPGP_0DB03290"
"24","SPGP_0DB03350"
"25","SPGP_0DB03450"
"26","SPGP_0DC02310"
"27","SPGP_0DC02440"
"28","SPGP_0DC02530"
"29","SPGP_0DC03140"
"30","SPGP_0DD00770"
"31","SPGP_0DD00800"
"32","SPGP_0DD01300"
"33","SPGP_0DD01830"
"34","SPGP_0DD01970"
"35","SPGP_0DD01990"
"36","SPGP_0DE00100"
"37","SPGP_0DE00830"
"38","SPGP_0DE00840"
"39","SPGP_0DE00900"
"40","SPGP_0DK00100"
"41","SPGP_0DN00180"
"42","SPGP_0DN00190"
"43","SPGP_0DN00380"
"44","SPGP_0DN01000"
"45","SPGP_0DN01290"
"46","SPGP_0DN01400"
"47","SPGP_0DN01520"
"48","SPGP_0DN01630"
"49","SPGP_0DN01780"
"50","SPGP_0DN02330"
"51","SPGP_0DN02470"
"52","SPGP_0DN02530"
"53","SPGP_0DN02740"
"54","SPGP_0DN03270"
"55","SPGP_0DN03590"
"56","SPGP_0DN03710"
"57","SPGP_0K00190"
"58","SPGP_0K01070"
"59","SPGP_0K02240"
"60","SPGP_0K02540"
"61","SPGP_0DU00240"
"62","SPGP_0DU01100"
"63","SPGP_0DU01490"
"64","SPGP_0DU01710"
"65","SPGP_0DV00220"
"66","SPGP_0DV00610"
"67","SPGP_0DV00630"
"68","SPGP_0DX00530"
"69","SPGP_0DX00610"
"70","SPGP_0L00410"
"71","SPGP_0L00600"
"72","SPGP_0L01400"
"73","SPGP_0L01440"
"74","SPGP_0L01550"
"75","SPGP_0L01660"
"76","SPGP_0DZ00960"
"77","SPGP_0DZ01060"
"78","SPGP_0DZ01460"
"79","SPGP_0DZ01470"
"80","SPGP_0DZ01630"
"81","SPGP_0DZ01720"
"82","SPGP_0DZ01750"
"83","SPGP_0DZ01950"
"84","SPGP_0DZ02150"
"85","SPGP_0EG00130"
"86","SPGP_0EG00170"
"87","SPGP_0M00250"
"88","SPGP_0M00280"
"89","SPGP_0M01430"
"90","SPGP_0M01710"
"91","SPGP_0M01910"
"92","SPGP_0M02760"
"93","SPGP_0M02830"
"94","SPGP_0M03520"
"95","SPGP_0M03640"
"96","SPGP_0M03770"
"97","SPGP_0M03780"
"98","SPGP_0EL00100"
"99","SPGP_0EO00110"
"100","SPGP_0EQ00110"
"101","SPGP_0N00510"
"102","SPGP_0N01430"
"103","SPGP_0N01490"
"104","SPGP_0N01660"
"105","SPGP_0N01790"
"106","SPGP_0N01800"
"107","SPGP_0ET00150"
"108","SPGP_0P01060"
"109","SPGP_0P01140"
"110","SPGP_0P01420"
"111","SPGP_0P01580"
"112","SPGP_0P01600"
"113","SPGP_0P01650"
"114","SPGP_0P01910"
"115","SPGP_0P02520"
"116","SPGP_0P02770"
"117","SPGP_0P03030"
"118","SPGP_0Q00320"
"119","SPGP_0Q01420"
"120","SPGP_0Q02260"
"121","SPGP_0Q02340"
"122","SPGP_0Q02470"
"123","SPGP_0Q02570"
"124","SPGP_0Q02610"
"125","SPGP_0Q03340"
"126","SPGP_0Q03670"
"127","SPGP_0Q04110"
"128","SPGP_0Q04230"
"129","SPGP_0Q04620"
"130","SPGP_0R00120"
"131","SPGP_0R00270"
"132","SPGP_0R00320"
"133","SPGP_0R00450"
"134","SPGP_0R00480"
"135","SPGP_0R01200"
"136","SPGP_0R01410"
"137","SPGP_0R01910"
"138","SPGP_0R01950"
"139","SPGP_0R02230"
"140","SPGP_0R02330"
"141","SPGP_0R02460"
"142","SPGP_0R02900"
"143","SPGP_0R03030"
"144","SPGP_0R03070"
"145","SPGP_0R03210"
"146","SPGP_0R03380"
"147","SPGP_0S00100"
"148","SPGP_0S00160"
"149","SPGP_0S00280"
"150","SPGP_0S00300"
"151","SPGP_0S00430"
"152","SPGP_0S00470"
"153","SPGP_0S00920"
"154","SPGP_0S01140"
"155","SPGP_0S01480"
"156","SPGP_0S02050"
"157","SPGP_0S03190"
