"","x"
"1","SPGP_0CZ00100"
"2","SPGP_0CZ00130"
"3","SPGP_0CZ00140"
"4","SPGP_0CZ00410"
"5","SPGP_0CZ02140"
"6","SPGP_0CZ02260"
"7","SPGP_0CZ02270"
"8","SPGP_0CZ02730"
"9","SPGP_0DB00170"
"10","SPGP_0DB00470"
"11","SPGP_0DB01010"
"12","SPGP_0DB01910"
"13","SPGP_0DB03290"
"14","SPGP_0DC00820"
"15","SPGP_0DC00830"
"16","SPGP_0DC03030"
"17","SPGP_0DD00120"
"18","SPGP_0DD00180"
"19","SPGP_0DD00240"
"20","SPGP_0DD00420"
"21","SPGP_0DD00850"
"22","SPGP_0DE00110"
"23","SPGP_0DE00130"
"24","SPGP_0DE00140"
"25","SPGP_0DE00180"
"26","SPGP_0DE00260"
"27","SPGP_0DN00100"
"28","SPGP_0DN00380"
"29","SPGP_0DN01500"
"30","SPGP_0DN02350"
"31","SPGP_0DN03290"
"32","SPGP_0DN03650"
"33","SPGP_0K00190"
"34","SPGP_0K00200"
"35","SPGP_0K00440"
"36","SPGP_0K00850"
"37","SPGP_0DQ00100"
"38","SPGP_0DQ00130"
"39","SPGP_0DU00240"
"40","SPGP_0DU00530"
"41","SPGP_0DU00680"
"42","SPGP_0DV00570"
"43","SPGP_0DV00600"
"44","SPGP_0DV00610"
"45","SPGP_0DX00150"
"46","SPGP_0DX00420"
"47","SPGP_0L00730"
"48","SPGP_0L00860"
"49","SPGP_0L01010"
"50","SPGP_0L01120"
"51","SPGP_0L01490"
"52","SPGP_0L01510"
"53","SPGP_0L01600"
"54","SPGP_0DZ00100"
"55","SPGP_0DZ00460"
"56","SPGP_0DZ00500"
"57","SPGP_0DZ01430"
"58","SPGP_0DZ01460"
"59","SPGP_0DZ02280"
"60","SPGP_0EH00100"
"61","SPGP_0M02540"
"62","SPGP_0M03610"
"63","SPGP_0M03620"
"64","SPGP_0M03720"
"65","SPGP_0M03780"
"66","SPGP_0EQ00100"
"67","SPGP_0N00100"
"68","SPGP_0N00410"
"69","SPGP_0N00420"
"70","SPGP_0N00680"
"71","SPGP_0N00730"
"72","SPGP_0N00880"
"73","SPGP_0N01430"
"74","SPGP_0N01480"
"75","SPGP_0N01890"
"76","SPGP_0N02000"
"77","SPGP_0N02280"
"78","SPGP_0ET00150"
"79","SPGP_0P00480"
"80","SPGP_0P00780"
"81","SPGP_0P00820"
"82","SPGP_0P00870"
"83","SPGP_0P01220"
"84","SPGP_0P02860"
"85","SPGP_0Q00120"
"86","SPGP_0Q00130"
"87","SPGP_0Q00170"
"88","SPGP_0Q00550"
"89","SPGP_0Q01350"
"90","SPGP_0Q01620"
"91","SPGP_0Q01820"
"92","SPGP_0Q02220"
"93","SPGP_0Q02530"
"94","SPGP_0R00100"
"95","SPGP_0R01220"
"96","SPGP_0S00170"
"97","SPGP_0S00490"
"98","SPGP_0S01020"
"99","SPGP_0S01640"
"100","SPGP_0S01650"
"101","SPGP_0S01850"
"102","SPGP_0S01930"
"103","SPGP_0S02030"
"104","SPGP_0S03320"
"105","SPGP_0T00110"
"106","SPGP_0U00140"
"107","SPGP_0U00710"
"108","SPGP_0U01810"
"109","SPGP_0U01820"
"110","SPGP_0V00320"
"111","SPGP_0V00960"
"112","SPGP_0V01060"
"113","SPGP_0V01490"
"114","SPGP_0V01900"
"115","SPGP_0V01910"
"116","SPGP_0W00170"
"117","SPGP_0W01570"
"118","SPGP_0W01850"
"119","SPGP_0W01860"
"120","SPGP_0W02130"
"121","SPGP_0W02320"
"122","SPGP_0W02560"
"123","SPGP_0W02720"
"124","SPGP_0W04090"
"125","SPGP_0W04290"
"126","SPGP_0W04410"
"127","SPGP_0W04540"
"128","SPGP_0W04700"
"129","SPGP_0W04710"
"130","SPGP_0X00190"
"131","SPGP_0X00480"
"132","SPGP_0X00510"
"133","SPGP_0X00770"
"134","SPGP_0Z01510"
"135","SPGP_0Z01760"
"136","SPGP_0Z01940"
"137","SPGP_0Z01950"
"138","SPGP_0AA00330"
"139","SPGP_0AA00340"
"140","SPGP_0AC00460"
"141","SPGP_0AC00470"
"142","SPGP_0AC00590"
"143","SPGP_0B00200"
"144","SPGP_0B00380"
"145","SPGP_0B00760"
"146","SPGP_0B00800"
"147","SPGP_0B02010"
"148","SPGP_0AE00300"
"149","SPGP_0AG00150"
"150","SPGP_0AH00100"
"151","SPGP_0AH00130"
"152","SPGP_0C00140"
"153","SPGP_0C00180"
"154","SPGP_0C00360"
"155","SPGP_0C00670"
"156","SPGP_0C02640"
"157","SPGP_0C02700"
"158","SPGP_0C03520"
"159","SPGP_0C04260"
"160","SPGP_0D00470"
"161","SPGP_0D00710"
"162","SPGP_0BC00310"
"163","SPGP_0BF00310"
"164","SPGP_0BF00400"
"165","SPGP_0BF00410"
"166","SPGP_0E00100"
"167","SPGP_0E00360"
"168","SPGP_0E00530"
"169","SPGP_0E00910"
"170","SPGP_0E00960"
"171","SPGP_0E01000"
"172","SPGP_0E01330"
"173","SPGP_0E01490"
"174","SPGP_0F01720"
"175","SPGP_0F02040"
"176","SPGP_0F02110"
"177","SPGP_0F02120"
"178","SPGP_0F02130"
"179","SPGP_0F02420"
"180","SPGP_0F02430"
"181","SPGP_0F02440"
"182","SPGP_0F03280"
"183","SPGP_0F04340"
"184","SPGP_0F04510"
"185","SPGP_0G00570"
"186","SPGP_0G01340"
"187","SPGP_0G01950"
"188","SPGP_0G02260"
"189","SPGP_0G02700"
"190","SPGP_0H00740"
"191","SPGP_0H00790"
"192","SPGP_0H00860"
"193","SPGP_0I00220"
"194","SPGP_0I00230"
"195","SPGP_0I00420"
"196","SPGP_0I00440"
"197","SPGP_0I00710"
"198","SPGP_0I01540"
"199","SPGP_0I01570"
"200","SPGP_0I01580"
"201","SPGP_0I01670"
"202","SPGP_0I01790"
"203","SPGP_0I02300"
