"","x"
"1","SPGP_0CZ00570"
"2","SPGP_0CZ00640"
"3","SPGP_0CZ00800"
"4","SPGP_0CZ01240"
"5","SPGP_0CZ01250"
"6","SPGP_0CZ01410"
"7","SPGP_0DB00840"
"8","SPGP_0DB01080"
"9","SPGP_0DB01550"
"10","SPGP_0DB01830"
"11","SPGP_0DB01920"
"12","SPGP_0DB01930"
"13","SPGP_0DB02390"
"14","SPGP_0DC00230"
"15","SPGP_0DC02160"
"16","SPGP_0DD01260"
"17","SPGP_0DI00100"
"18","SPGP_0DN00320"
"19","SPGP_0DN00580"
"20","SPGP_0DN00710"
"21","SPGP_0K00610"
"22","SPGP_0K02730"
"23","SPGP_0DU00420"
"24","SPGP_0DV00210"
"25","SPGP_0DV00560"
"26","SPGP_0L00820"
"27","SPGP_0L01300"
"28","SPGP_0DZ02070"
"29","SPGP_0DZ02200"
"30","SPGP_0DZ02260"
"31","SPGP_0M02470"
"32","SPGP_0M02790"
"33","SPGP_0N00600"
"34","SPGP_0N00610"
"35","SPGP_0N00780"
"36","SPGP_0N02040"
"37","SPGP_0N02220"
"38","SPGP_0FD00100"
"39","SPGP_0P01400"
"40","SPGP_0P02530"
"41","SPGP_0P02770"
"42","SPGP_0Q00100"
"43","SPGP_0Q00590"
"44","SPGP_0Q00670"
"45","SPGP_0Q02060"
"46","SPGP_0Q03110"
"47","SPGP_0Q04660"
"48","SPGP_0R00220"
"49","SPGP_0R01600"
"50","SPGP_0R03510"
"51","SPGP_0R03520"
"52","SPGP_0S00270"
"53","SPGP_0S00960"
"54","SPGP_0S01090"
"55","SPGP_0S02010"
"56","SPGP_0S02830"
"57","SPGP_0T00100"
"58","SPGP_0U01040"
"59","SPGP_0V01980"
"60","SPGP_0W00110"
"61","SPGP_0W00920"
"62","SPGP_0W01010"
"63","SPGP_0W02150"
"64","SPGP_0W02310"
"65","SPGP_0W03760"
"66","SPGP_0W03800"
"67","SPGP_0W04140"
"68","SPGP_0X00740"
"69","SPGP_0Y00610"
"70","SPGP_0Y01670"
"71","SPGP_0Z01180"
"72","SPGP_0Z01520"
"73","SPGP_0AA00710"
"74","SPGP_0B00140"
"75","SPGP_0AF00500"
"76","SPGP_0AH00590"
"77","SPGP_0C00450"
"78","SPGP_0C00460"
"79","SPGP_0C01390"
"80","SPGP_0C02460"
"81","SPGP_0C02960"
"82","SPGP_0C04630"
"83","SPGP_0D00720"
"84","SPGP_0BF00180"
"85","SPGP_0E00520"
"86","SPGP_0F01260"
"87","SPGP_0F03250"
"88","SPGP_0F04640"
"89","SPGP_0G00680"
"90","SPGP_0G02860"
"91","SPGP_0H00190"
"92","SPGP_0I00130"
"93","SPGP_0I01390"
"94","SPGP_0I01470"
"95","SPGP_0I01680"
"96","SPGP_0I02260"
