"","x"
"1","SPGP_0CZ00320"
"2","SPGP_0CZ01220"
"3","SPGP_0CZ01350"
"4","SPGP_0CZ01640"
"5","SPGP_0CZ02190"
"6","SPGP_0CZ02360"
"7","SPGP_0CZ02540"
"8","SPGP_0CZ02580"
"9","SPGP_0CZ02840"
"10","SPGP_0CZ02880"
"11","SPGP_0CZ02890"
"12","SPGP_0CZ03000"
"13","SPGP_0DB00130"
"14","SPGP_0DB00260"
"15","SPGP_0DB00410"
"16","SPGP_0DB00420"
"17","SPGP_0DB00430"
"18","SPGP_0DB00510"
"19","SPGP_0DB00610"
"20","SPGP_0DB01180"
"21","SPGP_0DB01530"
"22","SPGP_0DB01840"
"23","SPGP_0DB02100"
"24","SPGP_0DB02400"
"25","SPGP_0DB02700"
"26","SPGP_0DB02820"
"27","SPGP_0DB02890"
"28","SPGP_0DB03160"
"29","SPGP_0DB03370"
"30","SPGP_0DB03390"
"31","SPGP_0DC00110"
"32","SPGP_0DC00570"
"33","SPGP_0DC00790"
"34","SPGP_0DC00920"
"35","SPGP_0DC00950"
"36","SPGP_0DC01420"
"37","SPGP_0DC01440"
"38","SPGP_0DC01450"
"39","SPGP_0DC01590"
"40","SPGP_0DC01780"
"41","SPGP_0DC02070"
"42","SPGP_0DC02330"
"43","SPGP_0DC02770"
"44","SPGP_0DC03230"
"45","SPGP_0DD00130"
"46","SPGP_0DD00210"
"47","SPGP_0DD00590"
"48","SPGP_0DD00820"
"49","SPGP_0DD01270"
"50","SPGP_0DD01530"
"51","SPGP_0DD01610"
"52","SPGP_0DD01960"
"53","SPGP_0DE00300"
"54","SPGP_0DE00380"
"55","SPGP_0DE00790"
"56","SPGP_0DE00830"
"57","SPGP_0DF00100"
"58","SPGP_0DN00150"
"59","SPGP_0DN01130"
"60","SPGP_0DN01290"
"61","SPGP_0DN01320"
"62","SPGP_0DN01620"
"63","SPGP_0DN01700"
"64","SPGP_0DN01730"
"65","SPGP_0DN02100"
"66","SPGP_0DN02340"
"67","SPGP_0DN02510"
"68","SPGP_0DN02520"
"69","SPGP_0DN02880"
"70","SPGP_0DN02890"
"71","SPGP_0DN02900"
"72","SPGP_0DN03100"
"73","SPGP_0DN03220"
"74","SPGP_0DN03590"
"75","SPGP_0DN03630"
"76","SPGP_0DN03760"
"77","SPGP_0DN03790"
"78","SPGP_0DN03800"
"79","SPGP_0DN03820"
"80","SPGP_0DN03870"
"81","SPGP_0DN03890"
"82","SPGP_0K00150"
"83","SPGP_0K00470"
"84","SPGP_0K01460"
"85","SPGP_0K01520"
"86","SPGP_0K01760"
"87","SPGP_0K01770"
"88","SPGP_0K01850"
"89","SPGP_0K02000"
"90","SPGP_0K02470"
"91","SPGP_0K02480"
"92","SPGP_0K02700"
"93","SPGP_0DU00290"
"94","SPGP_0DU00570"
"95","SPGP_0DU00700"
"96","SPGP_0DU00780"
"97","SPGP_0DU01030"
"98","SPGP_0DU01210"
"99","SPGP_0DU01330"
"100","SPGP_0DU01370"
"101","SPGP_0DV00500"
"102","SPGP_0DV00510"
"103","SPGP_0DX00130"
"104","SPGP_0DX00200"
"105","SPGP_0DX00230"
"106","SPGP_0DX00540"
"107","SPGP_0L00280"
"108","SPGP_0L00560"
"109","SPGP_0L00710"
"110","SPGP_0L01020"
"111","SPGP_0L01030"
"112","SPGP_0L01130"
"113","SPGP_0L01350"
"114","SPGP_0DZ00520"
"115","SPGP_0DZ00880"
"116","SPGP_0DZ01000"
"117","SPGP_0DZ01030"
"118","SPGP_0DZ01150"
"119","SPGP_0DZ01200"
"120","SPGP_0DZ01360"
"121","SPGP_0DZ01540"
"122","SPGP_0DZ02140"
"123","SPGP_0DZ02180"
"124","SPGP_0DZ02340"
"125","SPGP_0DZ02350"
"126","SPGP_0DZ02360"
"127","SPGP_0ED00110"
"128","SPGP_0EE00130"
"129","SPGP_0EE00160"
"130","SPGP_0EE00200"
"131","SPGP_0EE00230"
"132","SPGP_0M00380"
"133","SPGP_0M00530"
"134","SPGP_0M00590"
"135","SPGP_0M00600"
"136","SPGP_0M01010"
"137","SPGP_0M01110"
"138","SPGP_0M01190"
"139","SPGP_0M01420"
"140","SPGP_0M01540"
"141","SPGP_0M01550"
"142","SPGP_0M01790"
"143","SPGP_0M01820"
"144","SPGP_0M01900"
"145","SPGP_0M01980"
"146","SPGP_0M02260"
"147","SPGP_0M02830"
"148","SPGP_0N00390"
"149","SPGP_0N00650"
"150","SPGP_0N01100"
"151","SPGP_0N01110"
"152","SPGP_0N01260"
"153","SPGP_0N01410"
"154","SPGP_0N01520"
"155","SPGP_0N01780"
"156","SPGP_0N01850"
"157","SPGP_0N01880"
"158","SPGP_0N01900"
"159","SPGP_0ET00160"
"160","SPGP_0ET00170"
"161","SPGP_0ET00190"
"162","SPGP_0P00250"
"163","SPGP_0P00860"
"164","SPGP_0P00900"
"165","SPGP_0P01250"
"166","SPGP_0P01450"
"167","SPGP_0P01910"
"168","SPGP_0P01930"
"169","SPGP_0P02030"
"170","SPGP_0P02290"
"171","SPGP_0P02310"
"172","SPGP_0P02940"
"173","SPGP_0P03130"
"174","SPGP_0FT00120"
"175","SPGP_0Q00510"
"176","SPGP_0Q00540"
"177","SPGP_0Q00770"
"178","SPGP_0Q00940"
"179","SPGP_0Q01210"
"180","SPGP_0Q01370"
"181","SPGP_0Q01400"
"182","SPGP_0Q01510"
"183","SPGP_0Q01830"
"184","SPGP_0Q02040"
"185","SPGP_0Q02090"
"186","SPGP_0Q02150"
"187","SPGP_0Q02280"
"188","SPGP_0Q02450"
"189","SPGP_0Q02490"
"190","SPGP_0Q02540"
"191","SPGP_0Q02570"
"192","SPGP_0Q03160"
"193","SPGP_0Q03510"
"194","SPGP_0Q03660"
"195","SPGP_0Q03670"
"196","SPGP_0Q03830"
"197","SPGP_0Q04180"
"198","SPGP_0Q04280"
"199","SPGP_0Q04380"
"200","SPGP_0Q04440"
"201","SPGP_0Q04460"
"202","SPGP_0R00180"
"203","SPGP_0R00320"
"204","SPGP_0R00370"
"205","SPGP_0R00560"
"206","SPGP_0R01240"
"207","SPGP_0R01390"
"208","SPGP_0R01620"
"209","SPGP_0R01950"
"210","SPGP_0R01960"
"211","SPGP_0R02020"
"212","SPGP_0R02610"
"213","SPGP_0R02630"
"214","SPGP_0R02730"
"215","SPGP_0R02810"
"216","SPGP_0R02820"
"217","SPGP_0R02840"
"218","SPGP_0R02970"
"219","SPGP_0R03200"
"220","SPGP_0R03270"
"221","SPGP_0R03360"
"222","SPGP_0R03420"
"223","SPGP_0S00690"
"224","SPGP_0S00990"
"225","SPGP_0S01140"
"226","SPGP_0S01200"
"227","SPGP_0S01210"
"228","SPGP_0S01400"
"229","SPGP_0S02080"
"230","SPGP_0S02140"
"231","SPGP_0S02310"
"232","SPGP_0S02440"
"233","SPGP_0S02450"
"234","SPGP_0S02850"
"235","SPGP_0S02900"
"236","SPGP_0S02910"
"237","SPGP_0S02920"
"238","SPGP_0S03280"
"239","SPGP_0S03400"
"240","SPGP_0S03490"
"241","SPGP_0S03570"
