source,term_name,term_id,highlighted,adjusted_p_value,negative_log10_of_adjusted_p_value,term_size,query_size,intersection_size,effective_domain_size,intersections
GO:MF,molecular_function,GO:0003674,TRUE,3.62337E-06,5.440887111,6539,244,243,7127,"P40103,P36035,P34231,Q02201,Q02208,Q02209,P36137,P36139,Q02455,P39113,Q03652,P05745,P49095,Q03177,P46680,P37296,P53438,Q03718,Q04697,Q04693,Q04964,P33315,P40447,P27796,P40496,P40525,P32460,P38998,P39708,P39714,Q01574,Q08991,Q12421,Q03205,Q03860,Q04925,P35198,Q12068,P22133,Q12252,Q08225,Q08109,P01119,P16467,Q99382,Q12431,P38999,Q03102,Q03104,Q99234,P38742,P10080,Q08558,Q12015,Q12056,P32490,Q08647,Q12481,Q12404,Q08902,P40151,P40991,P53742,P53743,P53750,Q06686,P09201,Q12318,Q05911,Q06488,Q06144,P49167,Q05902,Q05871,P14291,Q06146,P35200,P37838,P38833,P38769,Q12265,Q12400,Q08278,P13259,P39927,P53276,P48837,P41806,P53253,P35180,Q02260,P53045,P53215,P07264,P12383,P53165,P53164,P53011,P53032,P39533,P46999,P40364,P40366,P47047,P47143,P47150,Q04329,P40206,Q04225,P35203,Q03674,P12887,Q03554,P00331,Q02799,Q02961,Q02939,Q06892,P40350,O13297,Q99395,Q12060,P32383,P38740,P23180,P33413,P38707,P38710,P38777,P38781,P38849,P38152,P38146,P32473,P32528,P38113,P14922,P38261,P18238,P27654,P40327,Q07350,P10849,P41940,P52867,Q07549,P32891,Q05672,Q12063,Q12443,P28789,Q12328,P32797,Q07651,Q12031,Q02606,P21623,Q03406,P28791,P48813,P50942,P17898,P53904,P53903,P53882,P53538,P25582,P17709,P25569,P25566,P00815,P11709,P25376,P04173,Q06508,P16547,P40492,P40529,P40554,P40582,P25379,Q03558,P04806,P38893,P01097,Q12301,Q12055,P10622,Q07555,Q12069,Q12361,P0CX47,Q03125,Q04311,O13329,P17629,Q04924,Q03778,Q12086,Q01766,P43635,Q12341,P07991,Q06204,Q07824,Q07821,P04817,P32623,P22141,P40013,P32481,Q04739,P40030,P17064,Q02771,Q01217,P40078,P40083,P40091,P48240,P32582,P24868,P27999,P19807,P53009,Q00362,P03965,P47122,P40992,P47063,P00360,P47045,P47044,P47015,P26725,P47002,P46989,P39531,P40893,P27616,P32626,P21524,P40054"
GO:MF,binding,GO:0005488,FALSE,0.000198364,3.702536991,3827,244,168,7127,"Q02201,Q02208,P36137,Q02455,P39113,P05745,P49095,Q03177,P46680,P37296,P53438,Q03718,Q04697,Q04693,Q04964,P33315,P27796,P40525,P38998,P39714,Q01574,Q12421,Q03860,P35198,Q08225,Q08109,P01119,P16467,P38742,P10080,Q12056,P32490,Q08647,Q12481,Q12404,P40151,P40991,P53742,P53743,P09201,Q12318,Q05911,Q06488,Q06144,P49167,P14291,P35200,P37838,P38833,P38769,Q12265,Q12400,Q08278,P13259,P39927,P53276,P48837,P53253,P35180,Q02260,P53045,P53215,P07264,P12383,P53165,P53164,P53011,P53032,P39533,P40366,P47047,P47143,P47150,Q04225,P35203,P12887,P00331,Q02799,Q02961,Q02939,Q06892,O13297,Q12060,P32383,P23180,P38707,P38710,P38781,P38146,P32528,P38113,P14922,P38261,P18238,P40327,Q07350,P10849,P41940,P52867,Q07549,P32891,Q05672,Q12443,Q12328,P32797,Q03406,P28791,P50942,P17898,P53904,P53538,P25582,P17709,P25569,P25566,P00815,P11709,P04173,P40492,P40529,P40554,P25379,Q03558,P04806,P38893,Q12055,P10622,Q12069,Q12361,P0CX47,Q03125,Q04311,O13329,P17629,Q04924,Q03778,Q12086,Q12341,P07991,Q06204,Q07821,P22141,P40013,P32481,Q04739,P40030,P17064,Q01217,P40078,P40083,P40091,P48240,P32582,P24868,P27999,P53009,Q00362,P03965,P47122,P40992,P00360,P47015,P46989,P39531,P27616,P32626,P21524,P40054"
GO:MF,catalytic activity,GO:0003824,FALSE,0.003661478,2.436343584,2347,244,112,7127,"P49095,Q03718,P33315,P40447,P27796,P32460,P38998,P39708,P39714,Q01574,Q12068,P22133,Q08225,Q08109,P01119,P16467,P38999,Q03102,Q08558,Q12056,P32490,Q08647,Q12404,P40151,P40991,P53742,P53750,P09201,Q05911,Q05902,Q05871,Q12265,Q12400,P13259,P53045,P53215,P07264,P53165,P53164,P39533,P47047,P47143,Q03674,P12887,P00331,Q02799,Q02961,Q06892,P40350,O13297,P32383,P23180,P38707,P38710,P38777,P38146,P32473,P32528,P38113,P27654,P40327,P41940,P52867,P32891,Q12063,P28789,Q12031,P21623,P50942,P17898,P53538,P25582,P17709,P25566,P00815,P04173,Q06508,P40492,P40582,P25379,Q03558,P04806,P38893,Q12055,Q12069,Q04311,Q04924,Q03778,Q12086,P43635,Q12341,P07991,Q06204,P32623,P22141,P32481,Q04739,Q01217,P32582,P27999,P53009,P03965,P47122,P00360,P47045,P47044,P26725,P47002,P27616,P32626,P21524,P40054"
GO:MF,glucose binding,GO:0005536,TRUE,0.012874558,1.890267664,7,244,4,7127,"P17709,P04806,Q12361,Q06204"
GO:MF,oxidoreductase activity,GO:0016491,FALSE,0.043509489,1.361416016,350,244,26,7127,"P49095,P38998,P39708,P39714,Q12068,P22133,P38999,Q03102,Q12404,P53045,P47047,P00331,Q02961,P23180,P32473,P38113,P32891,P25566,P00815,P04173,P40582,Q03558,Q01217,P00360,P21524,P40054"
GO:BP,cellular process,GO:0009987,TRUE,1.90E-08,7.721880228,4984,244,214,7127,"P36035,P34231,Q02201,Q02208,P36137,P36139,Q02455,P39113,Q03652,P05745,P49095,P46680,P37296,P53438,Q03718,Q04697,Q04693,Q04964,P33315,P27796,P40496,P40525,P38998,P39708,Q01574,P39726,Q08991,Q12421,Q03860,P35198,Q12068,P22133,Q12252,Q08109,P01119,P16467,Q99382,Q12431,P38999,Q03104,Q99234,P38742,P10080,Q08558,Q12015,Q12056,P32490,Q08647,Q12481,Q12404,Q08902,P40151,P40991,P53742,P53743,P53750,Q06686,P09201,Q12318,Q05911,Q06488,Q06144,P49167,Q05902,Q05871,P14291,P35200,P37838,P38833,P38769,Q12265,Q12400,Q08278,P13259,P39927,P53276,P48837,P41806,P35180,Q02260,P53045,P53215,P07264,P12383,P53165,P53164,P53011,P53032,P39533,P46999,P40366,P47047,P47143,P47150,Q04225,P35203,Q03674,P12887,Q03554,P00331,Q02799,Q02939,Q06892,P40350,O13297,Q12060,P32383,P23180,P33413,P38707,P38710,P38781,P38152,P38146,P32473,P32528,P38113,P14922,P38261,P18238,P27654,P40327,Q07350,P10849,P41940,P52867,Q07549,P32891,Q05672,Q12063,Q12443,P28789,Q12328,P32797,Q07651,Q12031,Q02606,P21623,Q03406,P28791,P48813,P50942,P17898,P53904,P53903,P53538,P25582,P17709,P25569,P25566,P00815,P11709,P25376,P04173,Q06508,P40492,P40529,P40554,P40582,P25379,Q03558,P04806,Q12055,P10622,Q12069,Q12361,P0CX47,Q03125,Q04311,O13329,P17629,Q04924,Q03778,Q12086,Q01766,P43635,Q12341,P07991,Q06204,Q07824,Q07821,P04817,P32623,P40013,P32481,Q04739,P40030,P17064,Q02771,Q01217,P40078,P40091,P48240,P32582,P24868,P27999,P19807,P53009,Q00362,P03965,P47122,P40992,P00360,P47045,P47044,P47015,P26725,P47002,P46989,P39531,P27616,P32626,P21524,P40054"
GO:BP,small molecule metabolic process,GO:0044281,FALSE,1.36E-07,6.866585858,775,244,61,7127,"P49095,P37296,P33315,P27796,P38998,P39708,P39714,Q01574,P39726,Q12068,P22133,P16467,P38999,Q08558,P53750,P09201,Q05911,Q05871,Q12265,P53045,P07264,P53164,P39533,P47143,P00331,Q06892,P32383,P33413,P38710,P32473,P32528,P38113,P41940,P32891,Q05672,Q12063,Q12031,P17709,P25569,P00815,P04173,P40492,P25379,P04806,P38893,Q12055,Q03778,P43635,P07991,Q06204,Q07821,P40030,Q01217,P32582,P03965,P00360,P47045,P27616,P32626,P21524,P40054"
GO:BP,metabolic process,GO:0008152,FALSE,2.87738E-05,4.541003036,3857,244,173,7127,"Q02201,Q02208,P36139,Q02455,P39113,P05745,P49095,P37296,P53438,Q03718,Q04697,Q04693,Q04964,P33315,P40447,P27796,P40496,P40525,P32460,P38998,P39708,P39714,Q01574,P39726,Q12421,Q12068,P22133,Q08225,Q08109,P16467,Q99382,Q12431,P38999,Q03104,Q99234,P38742,P10080,Q08558,Q12015,Q12056,P32490,Q08647,Q12481,Q12404,P40151,P40991,P53743,P53750,P09201,Q12318,Q05911,Q06488,Q06144,P49167,Q05902,Q05871,P14291,P35200,P37838,Q12265,Q12400,Q08278,P13259,P39927,P53276,Q02260,P53045,P53215,P07264,P12383,P53165,P53164,P53032,P39533,P40366,P47047,P47143,P47150,Q04225,Q03674,P12887,P00331,Q02799,Q02939,Q06892,P40350,O13297,Q12060,P32383,P23180,P33413,P38707,P38710,P38781,P32473,P32528,P38113,P14922,P38261,P18238,P40327,Q07350,P10849,P41940,P52867,P32891,Q05672,Q12063,P28789,P32797,Q12031,Q02606,Q03406,P50942,P17898,P53904,P53538,P25582,P17709,P25569,P25566,P00815,P04173,Q06508,P40492,P40554,P40582,P25379,P04806,P38893,Q12055,P10622,Q12069,P0CX47,Q03125,Q04311,O13329,P17629,Q04924,Q03778,Q12086,Q01766,P43635,Q12341,P07991,Q06204,Q07821,P32623,P22141,P32481,Q04739,P40030,Q01217,P40078,P48240,P32582,P24868,P27999,P53009,Q00362,P03965,P40992,P00360,P47045,P47044,P47015,P26725,P47002,P46989,P27616,P32626,P21524,P40054"
GO:BP,cellular metabolic process,GO:0044237,FALSE,4.43596E-05,4.35301264,3507,244,161,7127,"Q02201,Q02208,P36139,Q02455,P39113,P05745,P49095,P37296,P53438,Q03718,Q04697,Q04693,Q04964,P33315,P27796,P40496,P40525,P38998,P39708,Q01574,P39726,Q12421,Q12068,P22133,P16467,Q99382,Q12431,P38999,Q03104,Q99234,P38742,P10080,Q08558,Q12015,Q12056,P32490,Q08647,Q12481,Q12404,P40151,P40991,P53743,P53750,P09201,Q12318,Q05911,Q06488,Q06144,P49167,Q05902,Q05871,P14291,P35200,P37838,Q12265,Q12400,Q08278,P13259,P39927,P53276,Q02260,P53045,P53215,P07264,P12383,P53165,P53164,P53032,P39533,P40366,P47047,P47143,P47150,Q04225,Q03674,P12887,P00331,Q02799,Q02939,Q06892,P40350,O13297,Q12060,P32383,P23180,P38707,P38710,P38781,P32473,P32528,P38113,P14922,P38261,P18238,P40327,Q07350,P10849,P41940,P52867,P32891,Q12063,P28789,P32797,Q12031,Q02606,Q03406,P50942,P17898,P53904,P53538,P25582,P17709,P25569,P00815,P04173,P40492,P40554,P40582,P25379,P04806,Q12055,P10622,Q12069,P0CX47,Q03125,Q04311,O13329,P17629,Q04924,Q03778,Q12086,Q01766,P43635,Q12341,P07991,Q06204,Q07821,P32481,Q04739,P40030,Q01217,P40078,P48240,P32582,P24868,P27999,P53009,Q00362,P03965,P40992,P00360,P47045,P47044,P47015,P26725,P47002,P46989,P27616,P32626,P21524,P40054"
GO:BP,organic substance metabolic process,GO:0071704,FALSE,5.55839E-05,4.255050796,3668,244,166,7127,"Q02201,Q02208,Q02455,P39113,P05745,P49095,P37296,P53438,Q03718,Q04697,Q04693,Q04964,P33315,P27796,P40496,P40525,P38998,P39708,P39714,Q01574,P39726,Q12068,P22133,Q08225,Q08109,P16467,Q99382,Q12431,P38999,Q03104,Q99234,P10080,Q08558,Q12015,Q12056,P32490,Q08647,Q12481,Q12404,P40151,P40991,P53743,P53750,P09201,Q12318,Q05911,Q06488,Q06144,P49167,Q05902,Q05871,P14291,P35200,P37838,Q12265,Q12400,Q08278,P13259,P39927,P53276,Q02260,P53045,P53215,P07264,P12383,P53165,P53164,P53032,P39533,P40366,P47047,P47143,P47150,Q04225,Q03674,P12887,P00331,Q02799,Q02939,Q06892,P40350,O13297,Q12060,P32383,P23180,P33413,P38707,P38710,P38781,P32473,P32528,P38113,P14922,P38261,P40327,Q07350,P10849,P41940,P52867,P32891,Q05672,Q12063,P28789,P32797,Q12031,Q02606,Q03406,P50942,P17898,P53904,P53538,P25582,P17709,P25569,P25566,P00815,P04173,Q06508,P40492,P40554,P40582,P25379,P04806,P38893,Q12055,P10622,Q12069,P0CX47,Q03125,Q04311,O13329,P17629,Q04924,Q03778,Q12086,Q01766,P43635,Q12341,P07991,Q06204,Q07821,P32623,P22141,P32481,Q04739,P40030,Q01217,P40078,P48240,P32582,P24868,P27999,P53009,Q00362,P03965,P40992,P00360,P47045,P47044,P47015,P26725,P47002,P27616,P32626,P21524,P40054"
