# version: e111_eg58_p18_30541362
# date: 03/04/2024, 14:37:13
# organism: scerevisiae
# all results: false
# ordered: false
# no iea: false
# sources: GO:MF,GO:BP,GO:CC,KEGG,REAC,WP,TF,MIRNA,HPA,CORUM,HP
# combined: false
# numeric ns: ENTREZGENE_ACC
# domain scope: known
# measure underrepresentation: false
# significance threshold method: g_SCS
# user threshold: 0.05
# no evidences: false
# query genes included: query_1<YER188W,YKL217W,YKL187C,YKR003W,YKR010C,YKR011C,YKR044W,YKR046C,YKR095W,YMR280C,YMR211W,YMR194W,YMR189W,YMR102C,YMR092C,YMR054W,YMR016C,YML023C,YML048W,YML049C,YML058W,YBR117C,YIL164C,YIL160C,YIL093C,YIL052C,YIR030C,YIR034C,YAL062W,YAL060W,YAL054C,YAL044C,YPL279C,YDR022C,YDR042C,YDR100W,YDR222W,YDR277C,YOL151W,YOL126C,YOL084W,YOL057W,YOL013C,YOR101W,YLR134W,YLR065C,YLL014W,YNR050C,YML131W,YML128C,YOR030W,YHL023C,YHL034C,YOR180C,YOR223W,YOR226C,YOR231W,YOR243C,YOR287C,YOR288C,YOR378W,YNL218W,YNL061W,YNR053C,YNR054C,YNR064C,YLR411W,YLR377C,YLR376C,YLR359W,YLR357W,YLR350W,YLR325C,YLR299W,YLR284C,YLR263W,YLR257W,YLR168C,YPL043W,YHR127W,YHR035W,YOL061W,YOL093W,YOL135C,YGR202C,YGR156W,YGR128C,YGR119C,YGR105W,YGR089W,YGR082W,YGR074W,YGR060W,YGR024C,YGL009C,YGL013C,YGL066W,YGL067W,YGL100W,YGL162W,YJL200C,YJL160C,YJL066C,YJL065C,YJL050W,YJR105W,YJR113C,YMR195W,YMR132C,YMR131C,YMR094W,YMR006C,YML021C,YMR292W,YMR303C,YPL054W,YPL113C,YPL122C,YPL188W,YPL227C,YPL228W,YPL229W,YPL254W,YPL268W,YHL026C,YHL021C,YHL016C,YHR019C,YHR046C,YHR049W,YHR056C,YHR151C,YBR291C,YBR264C,YBR221C,YBR208C,YBR145W,YBR112C,YBR102C,YBR085W,YBR067C,YDL007W,YDL043C,YDL044C,YDL055C,YDL093W,YDL123W,YDL174C,YDL189W,YDL193W,YDL204W,YDL205C,YDL217C,YDL220C,YDL222C,YPR006C,YPL014W,YDR403W,YDR489W,YDR498C,YDR508C,YNL106C,YNL130C,YNL148C,YNL149C,YNL176C,YNL222W,YCL054W,YCL040W,YCL039W,YCL033C,YCL030C,YCL029C,YCL025C,YCL018W,YPR139C,YIL136W,YIL097W,YIL044C,YIL008W,YIR038C,YCL064C,YHR179W,YFR053C,YHR210C,YDL181W,YDL180W,YDL166C,YDL130W,YDL129W,YDL036C,YDL035C,YBR048W,YDR043C,YDR049W,YDR110W,YDR138W,YDR221W,YDR236C,YDR263C,YPR005C,YPR001W,YPL001W,YLR438W,YLR446W,YLL028W,YLL027W,YEL063C,YEL040W,YER012W,YER016W,YER025W,YER027C,YER044C,YER056C,YER058W,YER069W,YER126C,YER137C,YER149C,YGR158C,YGR155W,YGR108W,YGL070C,YGL077C,YGL083W,YGL190C,YJR109C,YJR072C,YJL025W,YJL027C,YJL052W,YJL054W,YJL055W,YJL131C,YJL139C,YJL156C,YJL178C,YJL204C,YJL217W,YAR015W,YEL038W,YER070W,YER081W>
# query genes not included: XP_018223535.1,XP_018219534.1,P0CF35,P0CF36,XP_018222346.1,XP_018220241.1,P0C2J3,XP_018223319.1,XP_018223150.1,XP_018220390.1,XP_018222686.1
# query genes duplicates: P39113,P49095,Q03177,P37296,Q03718,Q04697,P27796,P40496,P25582,P25566,P00815,P11709,P25376,P04173,Q03558,Q07651,Q02606,P39927,P48837,Q02260,P12383,P53165,P53164,Q01574,P04817,P32623,P22141,Q04739,Q01217,P40078,P40091
"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","molecular_function","GO:0003674","true","0.0000036233717099974356","5.440887110812248","6539","244","243","7127","P40103,P36035,P34231,Q02201,Q02208,Q02209,P36137,P36139,Q02455,P39113,Q03652,P05745,P49095,Q03177,P46680,P37296,P53438,Q03718,Q04697,Q04693,Q04964,P33315,P40447,P27796,P40496,P40525,P32460,P38998,P39708,P39714,Q01574,Q08991,Q12421,Q03205,Q03860,Q04925,P35198,Q12068,P22133,Q12252,Q08225,Q08109,P01119,P16467,Q99382,Q12431,P38999,Q03102,Q03104,Q99234,P38742,P10080,Q08558,Q12015,Q12056,P32490,Q08647,Q12481,Q12404,Q08902,P40151,P40991,P53742,P53743,P53750,Q06686,P09201,Q12318,Q05911,Q06488,Q06144,P49167,Q05902,Q05871,P14291,Q06146,P35200,P37838,P38833,P38769,Q12265,Q12400,Q08278,P13259,P39927,P53276,P48837,P41806,P53253,P35180,Q02260,P53045,P53215,P07264,P12383,P53165,P53164,P53011,P53032,P39533,P46999,P40364,P40366,P47047,P47143,P47150,Q04329,P40206,Q04225,P35203,Q03674,P12887,Q03554,P00331,Q02799,Q02961,Q02939,Q06892,P40350,O13297,Q99395,Q12060,P32383,P38740,P23180,P33413,P38707,P38710,P38777,P38781,P38849,P38152,P38146,P32473,P32528,P38113,P14922,P38261,P18238,P27654,P40327,Q07350,P10849,P41940,P52867,Q07549,P32891,Q05672,Q12063,Q12443,P28789,Q12328,P32797,Q07651,Q12031,Q02606,P21623,Q03406,P28791,P48813,P50942,P17898,P53904,P53903,P53882,P53538,P25582,P17709,P25569,P25566,P00815,P11709,P25376,P04173,Q06508,P16547,P40492,P40529,P40554,P40582,P25379,Q03558,P04806,P38893,P01097,Q12301,Q12055,P10622,Q07555,Q12069,Q12361,P0CX47,Q03125,Q04311,O13329,P17629,Q04924,Q03778,Q12086,Q01766,P43635,Q12341,P07991,Q06204,Q07824,Q07821,P04817,P32623,P22141,P40013,P32481,Q04739,P40030,P17064,Q02771,Q01217,P40078,P40083,P40091,P48240,P32582,P24868,P27999,P19807,P53009,Q00362,P03965,P47122,P40992,P47063,P00360,P47045,P47044,P47015,P26725,P47002,P46989,P39531,P40893,P27616,P32626,P21524,P40054"
"GO:MF","binding","GO:0005488","false","0.00019836406925602206","3.702536991138596","3827","244","168","7127","Q02201,Q02208,P36137,Q02455,P39113,P05745,P49095,Q03177,P46680,P37296,P53438,Q03718,Q04697,Q04693,Q04964,P33315,P27796,P40525,P38998,P39714,Q01574,Q12421,Q03860,P35198,Q08225,Q08109,P01119,P16467,P38742,P10080,Q12056,P32490,Q08647,Q12481,Q12404,P40151,P40991,P53742,P53743,P09201,Q12318,Q05911,Q06488,Q06144,P49167,P14291,P35200,P37838,P38833,P38769,Q12265,Q12400,Q08278,P13259,P39927,P53276,P48837,P53253,P35180,Q02260,P53045,P53215,P07264,P12383,P53165,P53164,P53011,P53032,P39533,P40366,P47047,P47143,P47150,Q04225,P35203,P12887,P00331,Q02799,Q02961,Q02939,Q06892,O13297,Q12060,P32383,P23180,P38707,P38710,P38781,P38146,P32528,P38113,P14922,P38261,P18238,P40327,Q07350,P10849,P41940,P52867,Q07549,P32891,Q05672,Q12443,Q12328,P32797,Q03406,P28791,P50942,P17898,P53904,P53538,P25582,P17709,P25569,P25566,P00815,P11709,P04173,P40492,P40529,P40554,P25379,Q03558,P04806,P38893,Q12055,P10622,Q12069,Q12361,P0CX47,Q03125,Q04311,O13329,P17629,Q04924,Q03778,Q12086,Q12341,P07991,Q06204,Q07821,P22141,P40013,P32481,Q04739,P40030,P17064,Q01217,P40078,P40083,P40091,P48240,P32582,P24868,P27999,P53009,Q00362,P03965,P47122,P40992,P00360,P47015,P46989,P39531,P27616,P32626,P21524,P40054"
"GO:MF","catalytic activity","GO:0003824","false","0.003661477886483572","2.436343584443192","2347","244","112","7127","P49095,Q03718,P33315,P40447,P27796,P32460,P38998,P39708,P39714,Q01574,Q12068,P22133,Q08225,Q08109,P01119,P16467,P38999,Q03102,Q08558,Q12056,P32490,Q08647,Q12404,P40151,P40991,P53742,P53750,P09201,Q05911,Q05902,Q05871,Q12265,Q12400,P13259,P53045,P53215,P07264,P53165,P53164,P39533,P47047,P47143,Q03674,P12887,P00331,Q02799,Q02961,Q06892,P40350,O13297,P32383,P23180,P38707,P38710,P38777,P38146,P32473,P32528,P38113,P27654,P40327,P41940,P52867,P32891,Q12063,P28789,Q12031,P21623,P50942,P17898,P53538,P25582,P17709,P25566,P00815,P04173,Q06508,P40492,P40582,P25379,Q03558,P04806,P38893,Q12055,Q12069,Q04311,Q04924,Q03778,Q12086,P43635,Q12341,P07991,Q06204,P32623,P22141,P32481,Q04739,Q01217,P32582,P27999,P53009,P03965,P47122,P00360,P47045,P47044,P26725,P47002,P27616,P32626,P21524,P40054"
"GO:MF","glucose binding","GO:0005536","true","0.012874558242637635","1.8902676637295865","7","244","4","7127","P17709,P04806,Q12361,Q06204"
"GO:MF","oxidoreductase activity","GO:0016491","false","0.04350948910380793","1.361416016240717","350","244","26","7127","P49095,P38998,P39708,P39714,Q12068,P22133,P38999,Q03102,Q12404,P53045,P47047,P00331,Q02961,P23180,P32473,P38113,P32891,P25566,P00815,P04173,P40582,Q03558,Q01217,P00360,P21524,P40054"
"GO:BP","cellular process","GO:0009987","true","1.8972290780837798e-8","7.721880227708468","4984","244","214","7127","P36035,P34231,Q02201,Q02208,P36137,P36139,Q02455,P39113,Q03652,P05745,P49095,P46680,P37296,P53438,Q03718,Q04697,Q04693,Q04964,P33315,P27796,P40496,P40525,P38998,P39708,Q01574,P39726,Q08991,Q12421,Q03860,P35198,Q12068,P22133,Q12252,Q08109,P01119,P16467,Q99382,Q12431,P38999,Q03104,Q99234,P38742,P10080,Q08558,Q12015,Q12056,P32490,Q08647,Q12481,Q12404,Q08902,P40151,P40991,P53742,P53743,P53750,Q06686,P09201,Q12318,Q05911,Q06488,Q06144,P49167,Q05902,Q05871,P14291,P35200,P37838,P38833,P38769,Q12265,Q12400,Q08278,P13259,P39927,P53276,P48837,P41806,P35180,Q02260,P53045,P53215,P07264,P12383,P53165,P53164,P53011,P53032,P39533,P46999,P40366,P47047,P47143,P47150,Q04225,P35203,Q03674,P12887,Q03554,P00331,Q02799,Q02939,Q06892,P40350,O13297,Q12060,P32383,P23180,P33413,P38707,P38710,P38781,P38152,P38146,P32473,P32528,P38113,P14922,P38261,P18238,P27654,P40327,Q07350,P10849,P41940,P52867,Q07549,P32891,Q05672,Q12063,Q12443,P28789,Q12328,P32797,Q07651,Q12031,Q02606,P21623,Q03406,P28791,P48813,P50942,P17898,P53904,P53903,P53538,P25582,P17709,P25569,P25566,P00815,P11709,P25376,P04173,Q06508,P40492,P40529,P40554,P40582,P25379,Q03558,P04806,Q12055,P10622,Q12069,Q12361,P0CX47,Q03125,Q04311,O13329,P17629,Q04924,Q03778,Q12086,Q01766,P43635,Q12341,P07991,Q06204,Q07824,Q07821,P04817,P32623,P40013,P32481,Q04739,P40030,P17064,Q02771,Q01217,P40078,P40091,P48240,P32582,P24868,P27999,P19807,P53009,Q00362,P03965,P47122,P40992,P00360,P47045,P47044,P47015,P26725,P47002,P46989,P39531,P27616,P32626,P21524,P40054"
"GO:BP","small molecule metabolic process","GO:0044281","false","1.3596093478058878e-7","6.866585858147113","775","244","61","7127","P49095,P37296,P33315,P27796,P38998,P39708,P39714,Q01574,P39726,Q12068,P22133,P16467,P38999,Q08558,P53750,P09201,Q05911,Q05871,Q12265,P53045,P07264,P53164,P39533,P47143,P00331,Q06892,P32383,P33413,P38710,P32473,P32528,P38113,P41940,P32891,Q05672,Q12063,Q12031,P17709,P25569,P00815,P04173,P40492,P25379,P04806,P38893,Q12055,Q03778,P43635,P07991,Q06204,Q07821,P40030,Q01217,P32582,P03965,P00360,P47045,P27616,P32626,P21524,P40054"
"GO:BP","metabolic process","GO:0008152","false","0.000028773782997618972","4.541003036024696","3857","244","173","7127","Q02201,Q02208,P36139,Q02455,P39113,P05745,P49095,P37296,P53438,Q03718,Q04697,Q04693,Q04964,P33315,P40447,P27796,P40496,P40525,P32460,P38998,P39708,P39714,Q01574,P39726,Q12421,Q12068,P22133,Q08225,Q08109,P16467,Q99382,Q12431,P38999,Q03104,Q99234,P38742,P10080,Q08558,Q12015,Q12056,P32490,Q08647,Q12481,Q12404,P40151,P40991,P53743,P53750,P09201,Q12318,Q05911,Q06488,Q06144,P49167,Q05902,Q05871,P14291,P35200,P37838,Q12265,Q12400,Q08278,P13259,P39927,P53276,Q02260,P53045,P53215,P07264,P12383,P53165,P53164,P53032,P39533,P40366,P47047,P47143,P47150,Q04225,Q03674,P12887,P00331,Q02799,Q02939,Q06892,P40350,O13297,Q12060,P32383,P23180,P33413,P38707,P38710,P38781,P32473,P32528,P38113,P14922,P38261,P18238,P40327,Q07350,P10849,P41940,P52867,P32891,Q05672,Q12063,P28789,P32797,Q12031,Q02606,Q03406,P50942,P17898,P53904,P53538,P25582,P17709,P25569,P25566,P00815,P04173,Q06508,P40492,P40554,P40582,P25379,P04806,P38893,Q12055,P10622,Q12069,P0CX47,Q03125,Q04311,O13329,P17629,Q04924,Q03778,Q12086,Q01766,P43635,Q12341,P07991,Q06204,Q07821,P32623,P22141,P32481,Q04739,P40030,Q01217,P40078,P48240,P32582,P24868,P27999,P53009,Q00362,P03965,P40992,P00360,P47045,P47044,P47015,P26725,P47002,P46989,P27616,P32626,P21524,P40054"
"GO:BP","cellular metabolic process","GO:0044237","false","0.00004435957327475013","4.353012640280152","3507","244","161","7127","Q02201,Q02208,P36139,Q02455,P39113,P05745,P49095,P37296,P53438,Q03718,Q04697,Q04693,Q04964,P33315,P27796,P40496,P40525,P38998,P39708,Q01574,P39726,Q12421,Q12068,P22133,P16467,Q99382,Q12431,P38999,Q03104,Q99234,P38742,P10080,Q08558,Q12015,Q12056,P32490,Q08647,Q12481,Q12404,P40151,P40991,P53743,P53750,P09201,Q12318,Q05911,Q06488,Q06144,P49167,Q05902,Q05871,P14291,P35200,P37838,Q12265,Q12400,Q08278,P13259,P39927,P53276,Q02260,P53045,P53215,P07264,P12383,P53165,P53164,P53032,P39533,P40366,P47047,P47143,P47150,Q04225,Q03674,P12887,P00331,Q02799,Q02939,Q06892,P40350,O13297,Q12060,P32383,P23180,P38707,P38710,P38781,P32473,P32528,P38113,P14922,P38261,P18238,P40327,Q07350,P10849,P41940,P52867,P32891,Q12063,P28789,P32797,Q12031,Q02606,Q03406,P50942,P17898,P53904,P53538,P25582,P17709,P25569,P00815,P04173,P40492,P40554,P40582,P25379,P04806,Q12055,P10622,Q12069,P0CX47,Q03125,Q04311,O13329,P17629,Q04924,Q03778,Q12086,Q01766,P43635,Q12341,P07991,Q06204,Q07821,P32481,Q04739,P40030,Q01217,P40078,P48240,P32582,P24868,P27999,P53009,Q00362,P03965,P40992,P00360,P47045,P47044,P47015,P26725,P47002,P46989,P27616,P32626,P21524,P40054"
"GO:BP","organic substance metabolic process","GO:0071704","false","0.00005558392417533446","4.255050795674279","3668","244","166","7127","Q02201,Q02208,Q02455,P39113,P05745,P49095,P37296,P53438,Q03718,Q04697,Q04693,Q04964,P33315,P27796,P40496,P40525,P38998,P39708,P39714,Q01574,P39726,Q12068,P22133,Q08225,Q08109,P16467,Q99382,Q12431,P38999,Q03104,Q99234,P10080,Q08558,Q12015,Q12056,P32490,Q08647,Q12481,Q12404,P40151,P40991,P53743,P53750,P09201,Q12318,Q05911,Q06488,Q06144,P49167,Q05902,Q05871,P14291,P35200,P37838,Q12265,Q12400,Q08278,P13259,P39927,P53276,Q02260,P53045,P53215,P07264,P12383,P53165,P53164,P53032,P39533,P40366,P47047,P47143,P47150,Q04225,Q03674,P12887,P00331,Q02799,Q02939,Q06892,P40350,O13297,Q12060,P32383,P23180,P33413,P38707,P38710,P38781,P32473,P32528,P38113,P14922,P38261,P40327,Q07350,P10849,P41940,P52867,P32891,Q05672,Q12063,P28789,P32797,Q12031,Q02606,Q03406,P50942,P17898,P53904,P53538,P25582,P17709,P25569,P25566,P00815,P04173,Q06508,P40492,P40554,P40582,P25379,P04806,P38893,Q12055,P10622,Q12069,P0CX47,Q03125,Q04311,O13329,P17629,Q04924,Q03778,Q12086,Q01766,P43635,Q12341,P07991,Q06204,Q07821,P32623,P22141,P32481,Q04739,P40030,Q01217,P40078,P48240,P32582,P24868,P27999,P53009,Q00362,P03965,P40992,P00360,P47045,P47044,P47015,P26725,P47002,P27616,P32626,P21524,P40054"
