"","x"
"1","SPGP_0CZ00340"
"2","SPGP_0CZ00680"
"3","SPGP_0CZ00750"
"4","SPGP_0CZ00800"
"5","SPGP_0CZ01040"
"6","SPGP_0CZ01100"
"7","SPGP_0CZ01310"
"8","SPGP_0CZ01670"
"9","SPGP_0CZ01680"
"10","SPGP_0CZ01710"
"11","SPGP_0CZ01730"
"12","SPGP_0CZ01770"
"13","SPGP_0CZ01850"
"14","SPGP_0CZ01860"
"15","SPGP_0CZ02060"
"16","SPGP_0CZ02090"
"17","SPGP_0CZ02100"
"18","SPGP_0CZ02130"
"19","SPGP_0CZ02440"
"20","SPGP_0CZ02620"
"21","SPGP_0CZ02760"
"22","SPGP_0CZ02770"
"23","SPGP_0CZ02880"
"24","SPGP_0CZ02890"
"25","SPGP_0DB00410"
"26","SPGP_0DB00430"
"27","SPGP_0DB00500"
"28","SPGP_0DB00540"
"29","SPGP_0DB00610"
"30","SPGP_0DB00720"
"31","SPGP_0DB01040"
"32","SPGP_0DB01290"
"33","SPGP_0DB01390"
"34","SPGP_0DB02290"
"35","SPGP_0DB02630"
"36","SPGP_0DB02660"
"37","SPGP_0DB02810"
"38","SPGP_0DB03170"
"39","SPGP_0DB03250"
"40","SPGP_0DB03260"
"41","SPGP_0DC00280"
"42","SPGP_0DC00400"
"43","SPGP_0DC00460"
"44","SPGP_0DC00790"
"45","SPGP_0DC01130"
"46","SPGP_0DC01140"
"47","SPGP_0DC01150"
"48","SPGP_0DC01550"
"49","SPGP_0DC01610"
"50","SPGP_0DC01740"
"51","SPGP_0DC01780"
"52","SPGP_0DC02190"
"53","SPGP_0DC02490"
"54","SPGP_0DC02680"
"55","SPGP_0DC02690"
"56","SPGP_0DC02780"
"57","SPGP_0DC03000"
"58","SPGP_0DC03430"
"59","SPGP_0DC03470"
"60","SPGP_0DC03670"
"61","SPGP_0DD00110"
"62","SPGP_0DD00160"
"63","SPGP_0DD00440"
"64","SPGP_0DD00570"
"65","SPGP_0DD01150"
"66","SPGP_0DD01540"
"67","SPGP_0DD01570"
"68","SPGP_0DD01660"
"69","SPGP_0DE00380"
"70","SPGP_0DE00650"
"71","SPGP_0DE00660"
"72","SPGP_0DJ00100"
"73","SPGP_0DM00100"
"74","SPGP_0DN00220"
"75","SPGP_0DN00270"
"76","SPGP_0DN00320"
"77","SPGP_0DN00350"
"78","SPGP_0DN00510"
"79","SPGP_0DN00580"
"80","SPGP_0DN00620"
"81","SPGP_0DN00760"
"82","SPGP_0DN00870"
"83","SPGP_0DN00990"
"84","SPGP_0DN01170"
"85","SPGP_0DN01260"
"86","SPGP_0DN01890"
"87","SPGP_0DN01930"
"88","SPGP_0DN01960"
"89","SPGP_0DN02010"
"90","SPGP_0DN02020"
"91","SPGP_0DN02610"
"92","SPGP_0DN02620"
"93","SPGP_0DN02870"
"94","SPGP_0DN02880"
"95","SPGP_0DN02900"
"96","SPGP_0DN03070"
"97","SPGP_0DN03220"
"98","SPGP_0DN03250"
"99","SPGP_0DN03610"
"100","SPGP_0DN03640"
"101","SPGP_0DN03680"
"102","SPGP_0DN03840"
"103","SPGP_0DN03980"
"104","SPGP_0DN04160"
"105","SPGP_0K00140"
"106","SPGP_0K00430"
"107","SPGP_0K00490"
"108","SPGP_0K00610"
"109","SPGP_0K00650"
"110","SPGP_0K00780"
"111","SPGP_0K00810"
"112","SPGP_0K00880"
"113","SPGP_0K01360"
"114","SPGP_0K01430"
"115","SPGP_0K01830"
"116","SPGP_0K01910"
"117","SPGP_0K02000"
"118","SPGP_0K02060"
"119","SPGP_0K02070"
"120","SPGP_0K02580"
"121","SPGP_0K02610"
"122","SPGP_0DQ00120"
"123","SPGP_0DU00110"
"124","SPGP_0DU00330"
"125","SPGP_0DU00410"
"126","SPGP_0DU00510"
"127","SPGP_0DU00600"
"128","SPGP_0DU00860"
"129","SPGP_0DU00930"
"130","SPGP_0DU01040"
"131","SPGP_0DU01250"
"132","SPGP_0DV00160"
"133","SPGP_0DV00660"
"134","SPGP_0DX00130"
"135","SPGP_0DX00250"
"136","SPGP_0DX00450"
