"","x"
"1","SPGP_0CZ00400"
"2","SPGP_0CZ01570"
"3","SPGP_0CZ01910"
"4","SPGP_0CZ02740"
"5","SPGP_0DB01600"
"6","SPGP_0DB02790"
"7","SPGP_0DC00230"
"8","SPGP_0DC00410"
"9","SPGP_0DC00650"
"10","SPGP_0DC01870"
"11","SPGP_0DC02210"
"12","SPGP_0DF00100"
"13","SPGP_0DH00100"
"14","SPGP_0DI00100"
"15","SPGP_0DN00110"
"16","SPGP_0DN00710"
"17","SPGP_0DN01530"
"18","SPGP_0DN01700"
"19","SPGP_0K00150"
"20","SPGP_0K02180"
"21","SPGP_0DQ00110"
"22","SPGP_0DU00350"
"23","SPGP_0DU00870"
"24","SPGP_0DU01200"
"25","SPGP_0DU01300"
"26","SPGP_0DX00140"
"27","SPGP_0L00730"
"28","SPGP_0L01510"
"29","SPGP_0L01660"
"30","SPGP_0DZ00900"
"31","SPGP_0DZ02200"
"32","SPGP_0EA00120"
"33","SPGP_0EG00170"
"34","SPGP_0M01170"
"35","SPGP_0M01240"
"36","SPGP_0M01360"
"37","SPGP_0M01550"
"38","SPGP_0M02190"
"39","SPGP_0M02390"
"40","SPGP_0N00640"
"41","SPGP_0N00670"
"42","SPGP_0N00810"
"43","SPGP_0N00900"
"44","SPGP_0N01870"
"45","SPGP_0N01890"
"46","SPGP_0N02240"
"47","SPGP_0P00680"
"48","SPGP_0P00820"
"49","SPGP_0P02210"
"50","SPGP_0P02540"
"51","SPGP_0P02620"
"52","SPGP_0Q00590"
"53","SPGP_0Q01060"
"54","SPGP_0Q02040"
"55","SPGP_0Q03400"
"56","SPGP_0Q03430"
"57","SPGP_0Q03500"
"58","SPGP_0Q04730"
"59","SPGP_0R00100"
"60","SPGP_0R00250"
"61","SPGP_0R00580"
"62","SPGP_0R01510"
"63","SPGP_0R02190"
"64","SPGP_0R02200"
"65","SPGP_0R02890"
"66","SPGP_0S01000"
"67","SPGP_0S03430"
"68","SPGP_0U01270"
"69","SPGP_0U01940"
"70","SPGP_0V01660"
"71","SPGP_0V01960"
"72","SPGP_0W00760"
"73","SPGP_0W01220"
"74","SPGP_0W01300"
"75","SPGP_0W03070"
"76","SPGP_0W03510"
"77","SPGP_0W03760"
"78","SPGP_0W04200"
"79","SPGP_0X00510"
"80","SPGP_0Y01610"
"81","SPGP_0Y01630"
"82","SPGP_0Y01670"
"83","SPGP_0Z00660"
"84","SPGP_0Z00880"
"85","SPGP_0Z01630"
"86","SPGP_0AA00710"
"87","SPGP_0B00560"
"88","SPGP_0B01070"
"89","SPGP_0B01170"
"90","SPGP_0AE00980"
"91","SPGP_0AH01080"
"92","SPGP_0C00360"
"93","SPGP_0C01070"
"94","SPGP_0C01320"
"95","SPGP_0C02630"
"96","SPGP_0C04230"
"97","SPGP_0C04380"
"98","SPGP_0D00990"
"99","SPGP_0BF00100"
"100","SPGP_0BF00180"
"101","SPGP_0E00200"
"102","SPGP_0E00460"
"103","SPGP_0E01420"
"104","SPGP_0F00980"
"105","SPGP_0F01260"
"106","SPGP_0F01460"
"107","SPGP_0F01970"
"108","SPGP_0F02450"
"109","SPGP_0F02530"
"110","SPGP_0F03110"
"111","SPGP_0F03810"
"112","SPGP_0F04130"
"113","SPGP_0F04830"
"114","SPGP_0F05000"
"115","SPGP_0G01340"
"116","SPGP_0G01430"
"117","SPGP_0G02690"
"118","SPGP_0G02880"
"119","SPGP_0G03190"
"120","SPGP_0G03270"
"121","SPGP_0H00320"
"122","SPGP_0H00400"
"123","SPGP_0H00870"
"124","SPGP_0I00170"
"125","SPGP_0I00810"
"126","SPGP_0I01790"
"127","SPGP_0I02530"
"128","SPGP_0I02600"
