"","x"
"1","SPGP_0CZ00100"
"2","SPGP_0CZ00110"
"3","SPGP_0CZ00140"
"4","SPGP_0CZ00410"
"5","SPGP_0CZ00630"
"6","SPGP_0CZ02190"
"7","SPGP_0CZ02260"
"8","SPGP_0CZ02270"
"9","SPGP_0CZ02560"
"10","SPGP_0CZ02580"
"11","SPGP_0CZ03050"
"12","SPGP_0DB00170"
"13","SPGP_0DB00840"
"14","SPGP_0DB01030"
"15","SPGP_0DB01080"
"16","SPGP_0DB01910"
"17","SPGP_0DB02010"
"18","SPGP_0DB02360"
"19","SPGP_0DB02700"
"20","SPGP_0DB03080"
"21","SPGP_0DB03280"
"22","SPGP_0DB03290"
"23","SPGP_0DB03380"
"24","SPGP_0DC02160"
"25","SPGP_0DD00150"
"26","SPGP_0DD00180"
"27","SPGP_0DD00850"
"28","SPGP_0DD01180"
"29","SPGP_0DD01960"
"30","SPGP_0DD02000"
"31","SPGP_0DE00110"
"32","SPGP_0DE00130"
"33","SPGP_0DE00180"
"34","SPGP_0DE00260"
"35","SPGP_0DN00890"
"36","SPGP_0DN01420"
"37","SPGP_0DN01500"
"38","SPGP_0DN01670"
"39","SPGP_0DN02210"
"40","SPGP_0DN03290"
"41","SPGP_0DN03790"
"42","SPGP_0K00100"
"43","SPGP_0K00210"
"44","SPGP_0K00440"
"45","SPGP_0K00850"
"46","SPGP_0K01110"
"47","SPGP_0K01520"
"48","SPGP_0K02540"
"49","SPGP_0DU00310"
"50","SPGP_0DU00950"
"51","SPGP_0DU01710"
"52","SPGP_0DV00570"
"53","SPGP_0DX00110"
"54","SPGP_0DX00150"
"55","SPGP_0L01010"
"56","SPGP_0L01490"
"57","SPGP_0L01600"
"58","SPGP_0DZ00520"
"59","SPGP_0DZ00890"
"60","SPGP_0DZ00910"
"61","SPGP_0DZ00960"
"62","SPGP_0DZ01030"
"63","SPGP_0DZ01060"
"64","SPGP_0DZ01460"
"65","SPGP_0DZ01470"
"66","SPGP_0DZ01980"
"67","SPGP_0DZ02290"
"68","SPGP_0M01120"
"69","SPGP_0M02540"
"70","SPGP_0M03610"
"71","SPGP_0M03620"
"72","SPGP_0M03720"
"73","SPGP_0M03780"
"74","SPGP_0EQ00100"
"75","SPGP_0EQ00110"
"76","SPGP_0N00100"
"77","SPGP_0N00410"
"78","SPGP_0N00420"
"79","SPGP_0N00600"
"80","SPGP_0N00610"
"81","SPGP_0N00680"
"82","SPGP_0N00880"
"83","SPGP_0N01120"
"84","SPGP_0N01260"
"85","SPGP_0N01430"
"86","SPGP_0N01480"
"87","SPGP_0N02270"
"88","SPGP_0ET00150"
"89","SPGP_0FI00100"
"90","SPGP_0P00480"
"91","SPGP_0P01390"
"92","SPGP_0P02320"
"93","SPGP_0P02630"
"94","SPGP_0P03010"
"95","SPGP_0Q00120"
"96","SPGP_0Q00950"
"97","SPGP_0Q01370"
"98","SPGP_0Q01520"
"99","SPGP_0Q01620"
"100","SPGP_0Q01710"
"101","SPGP_0Q01820"
"102","SPGP_0Q01980"
"103","SPGP_0Q02060"
"104","SPGP_0Q02140"
"105","SPGP_0Q02260"
"106","SPGP_0Q02530"
"107","SPGP_0Q02570"
"108","SPGP_0Q02860"
"109","SPGP_0Q02900"
"110","SPGP_0Q03370"
"111","SPGP_0Q03380"
"112","SPGP_0Q03680"
"113","SPGP_0Q04240"
"114","SPGP_0R00220"
"115","SPGP_0R00560"
"116","SPGP_0R00940"
"117","SPGP_0R01400"
"118","SPGP_0R01410"
"119","SPGP_0R01560"
"120","SPGP_0R02930"
"121","SPGP_0R03030"
"122","SPGP_0S00170"
"123","SPGP_0S01020"
"124","SPGP_0S01040"
"125","SPGP_0S01090"
"126","SPGP_0S01640"
"127","SPGP_0S01650"
"128","SPGP_0S01930"
"129","SPGP_0S02010"
"130","SPGP_0S02380"
"131","SPGP_0S02840"
"132","SPGP_0S03090"
"133","SPGP_0S03110"
"134","SPGP_0S03320"
"135","SPGP_0S03330"
"136","SPGP_0T00110"
"137","SPGP_0T00220"
"138","SPGP_0U00140"
"139","SPGP_0U00710"
"140","SPGP_0U00790"
"141","SPGP_0U01420"
"142","SPGP_0U01800"
"143","SPGP_0U01810"
"144","SPGP_0U01820"
"145","SPGP_0U02060"
"146","SPGP_0U02200"
"147","SPGP_0V00270"
"148","SPGP_0V00320"
"149","SPGP_0V00370"
"150","SPGP_0V00680"
"151","SPGP_0V00710"
"152","SPGP_0V00980"
"153","SPGP_0V01010"
"154","SPGP_0V01060"
"155","SPGP_0V02010"
"156","SPGP_0W00100"
"157","SPGP_0W00150"
"158","SPGP_0W00170"
"159","SPGP_0W00420"
"160","SPGP_0W00850"
"161","SPGP_0W00960"
"162","SPGP_0W01570"
"163","SPGP_0W01850"
"164","SPGP_0W01860"
"165","SPGP_0W01970"
"166","SPGP_0W02120"
"167","SPGP_0W02130"
"168","SPGP_0W02300"
"169","SPGP_0W02800"
"170","SPGP_0W03080"
"171","SPGP_0W03090"
"172","SPGP_0W03200"
"173","SPGP_0W03570"
"174","SPGP_0W03840"
"175","SPGP_0W04290"
"176","SPGP_0W04410"
"177","SPGP_0W04440"
"178","SPGP_0W04540"
"179","SPGP_0W04550"
"180","SPGP_0W04670"
"181","SPGP_0W04700"
"182","SPGP_0W04710"
"183","SPGP_0X00720"
"184","SPGP_0X00910"
"185","SPGP_0Y00630"
"186","SPGP_0Y01410"
"187","SPGP_0Y01490"
"188","SPGP_0Y01580"
"189","SPGP_0Z01130"
"190","SPGP_0Z01340"
"191","SPGP_0Z01510"
"192","SPGP_0Z01520"
"193","SPGP_0Z01760"
"194","SPGP_0Z02170"
"195","SPGP_0AA00140"
"196","SPGP_0AA00230"
"197","SPGP_0AA00330"
"198","SPGP_0AA00340"
"199","SPGP_0AA00400"
"200","SPGP_0AA00430"
"201","SPGP_0AA00440"
"202","SPGP_0AA00480"
"203","SPGP_0AA00520"
"204","SPGP_0AC00590"
"205","SPGP_0B00140"
"206","SPGP_0B00380"
"207","SPGP_0B00760"
"208","SPGP_0B00800"
"209","SPGP_0B01230"
"210","SPGP_0B01560"
"211","SPGP_0B02010"
"212","SPGP_0AE00100"
"213","SPGP_0AE00190"
"214","SPGP_0AE00370"
"215","SPGP_0AE00400"
"216","SPGP_0AE00410"
"217","SPGP_0AE00460"
"218","SPGP_0AE00490"
"219","SPGP_0AF00150"
"220","SPGP_0AH00130"
"221","SPGP_0AI00100"
"222","SPGP_0AI00110"
"223","SPGP_0AI00120"
"224","SPGP_0AI00440"
"225","SPGP_0C00290"
"226","SPGP_0C00660"
"227","SPGP_0C00670"
"228","SPGP_0C00800"
"229","SPGP_0C01110"
"230","SPGP_0C01120"
"231","SPGP_0C01970"
"232","SPGP_0C01980"
"233","SPGP_0C02490"
"234","SPGP_0C02640"
"235","SPGP_0C02690"
"236","SPGP_0C03270"
"237","SPGP_0C03520"
"238","SPGP_0C04260"
"239","SPGP_0C04400"
"240","SPGP_0C04650"
"241","SPGP_0AS00100"
"242","SPGP_0AT00100"
"243","SPGP_0D00710"
"244","SPGP_0D00750"
"245","SPGP_0D00760"
"246","SPGP_0D00890"
"247","SPGP_0BC00230"
"248","SPGP_0BC00310"
"249","SPGP_0BF00200"
"250","SPGP_0BF00400"
"251","SPGP_0BF00410"
"252","SPGP_0E00140"
"253","SPGP_0E00360"
"254","SPGP_0E00870"
"255","SPGP_0E00910"
"256","SPGP_0E00960"
"257","SPGP_0E01000"
"258","SPGP_0E01020"
"259","SPGP_0E01190"
"260","SPGP_0E01340"
"261","SPGP_0E01370"
"262","SPGP_0E01490"
"263","SPGP_0E02040"
"264","SPGP_0E02140"
"265","SPGP_0E02270"
"266","SPGP_0F01270"
"267","SPGP_0F01290"
"268","SPGP_0F01300"
"269","SPGP_0F01630"
"270","SPGP_0F01720"
"271","SPGP_0F02040"
"272","SPGP_0F02780"
"273","SPGP_0F03250"
"274","SPGP_0F03260"
"275","SPGP_0F03280"
