""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	Parent	CBS1513	protein_ID	Entry	Entry name	Gene names	Gene names  (primary )	Gene names  (synonym )	Gene names  (ordered locus )	Gene names  (ORF )	Protein names	Status	Organism	Length	EC number	Gene ontology (biological process)	Gene ontology (molecular function)	Gene ontology (cellular component)	Function [CC]	Catalytic activity	Absorption	Cofactor	General annotation (ENZYME REGULATION)	Kinetics	Pathway	Redox potential	Temperature dependence	pH dependence	Subcellular location [CC]	Intramembrane	Transmembrane	Subunit structure [CC]	Interacts with	Tissue specificity
SPGP0CY00100	317.438355173467	1.0310369936547	0.218128728866235	4.72673635890928	2.28157182894151e-06	1.32687257842974e-05	
SPGP0CZ00110	146.398758446684	1.08086469641049	0.195675365686861	5.52376479592325	3.31811592334201e-08	2.54251320461057e-07	
SPGP0CZ00120	88.1083967142087	1.34028560291528	0.314415253457692	4.26278810641618	2.01891944332229e-05	9.6667536661872e-05	
SPGP0CZ00130	6961.13302566837	1.02871740304043	0.239176950773068	4.30107248928214	1.69973440893397e-05	8.27132473562866e-05	S_eubayanus	SPGP0CZ00130	XP_018220842.1	A0A0L8RFA0	A0A0L8RFA0_SACEU	DI49_3167				DI49_3167	Uncharacterized protein	unreviewed	Saccharomyces eubayanus (Yeast)	294																				
SPGP0CZ00200	3542.2029418973	1.0418163959311	0.143203927717513	7.27505461991383	3.46280315309885e-13	5.22018987565848e-12	S_eubayanus	SPGP0CZ00200	XP_018220848.1	A0A0L8RFD8	A0A0L8RFD8_SACEU	DI49_3173				DI49_3173	TRP3-like protein	unreviewed	Saccharomyces eubayanus (Yeast)	484		glutamine metabolic process [GO:0006541]; tryptophan biosynthetic process [GO:0000162]	anthranilate synthase activity [GO:0004049]; indole-3-glycerol-phosphate synthase activity [GO:0004425]	anthranilate synthase complex [GO:0005950]																
SPGP0CZ00320	19.933338103248	-1.37012600908906	0.420273678556513	-3.2600804642226	0.00111380610543517	0.00372729512895428	S_eubayanus	SPGP0CZ00320	XP_018220859.1	A0A0L8RG33	A0A0L8RG33_SACEU	DI49_3186				DI49_3186	YKT6-like protein	unreviewed	Saccharomyces eubayanus (Yeast)	200		endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; intra-Golgi vesicle-mediated transport [GO:0006891]; vacuole fusion, non-autophagic [GO:0042144]; vesicle fusion [GO:0006906]	palmitoyltransferase activity [GO:0016409]; SNAP receptor activity [GO:0005484]	endosome [GO:0005768]; fungal-type vacuole [GO:0000324]; Golgi apparatus [GO:0005794]; integral component of membrane [GO:0016021]; SNARE complex [GO:0031201]																
SPGP0CZ00340	383.360256052976	-1.58030042338971	0.168526204165169	-9.37717924175689	6.77612482309889e-21	1.95072179097373e-19	S_eubayanus	SPGP0CZ00340	XP_018220860.1	A0A0L8RFK4	A0A0L8RFK4_SACEU	DI49_3187				DI49_3187	MST1-like protein	unreviewed	Saccharomyces eubayanus (Yeast)	462		mitochondrial threonyl-tRNA aminoacylation [GO:0070159]	ATP binding [GO:0005524]; threonine-tRNA ligase activity [GO:0004829]	mitochondrion [GO:0005739]																
SPGP0CZ00410	1246.2622306276	-2.00340266981126	0.167006373864386	-11.9959653242821	3.73042429407515e-33	2.49803267402525e-31	S_eubayanus	SPGP0CZ00410	XP_018220867.1	A0A0L8RFD9	A0A0L8RFD9_SACEU	DI49_3195				DI49_3195	Uncharacterized protein	unreviewed	Saccharomyces eubayanus (Yeast)	752		long-chain fatty acid transport [GO:0015909]		integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]													"TRANSMEM 15..36;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 546..568;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 577..605;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 625..649;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius"""			
SPGP0CZ00460	16766.0210957205	-1.12709513053497	0.116041382007137	-9.71287234812185	2.6574081590191e-22	8.46796855086051e-21	S_eubayanus	SPGP0CZ00460	XP_018220872.1	A0A0L8RFE4	A0A0L8RFE4_SACEU	DI49_3200				DI49_3200	Fatty acid synthase subunit beta (EC 2.3.1.86) [Includes: 3-hydroxyacyl-[acyl-carrier-protein] dehydratase (EC 4.2.1.59); Enoyl-[acyl-carrier-protein] reductase [NADH] (EC 1.3.1.9); [Acyl-carrier-protein] acetyltransferase (EC 2.3.1.38); [Acyl-carrier-protein] malonyltransferase (EC 2.3.1.39); S-acyl fatty acid synthase thioesterase (EC 3.1.2.14)]	unreviewed	Saccharomyces eubayanus (Yeast)	2050	2.3.1.86; 4.2.1.59; 1.3.1.9; 2.3.1.38; 2.3.1.39; 3.1.2.14	long-chain fatty acid biosynthetic process [GO:0042759]	(3R)-hydroxymyristoyl-[acyl-carrier-protein] dehydratase activity [GO:0008659]; [acyl-carrier-protein] S-acetyltransferase activity [GO:0004313]; [acyl-carrier-protein] S-malonyltransferase activity [GO:0004314]; 3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase activity [GO:0008693]; 3-hydroxyoctanoyl-[acyl-carrier-protein] dehydratase activity [GO:0047451]; 3-hydroxypalmitoyl-[acyl-carrier-protein] dehydratase activity [GO:0004317]; enoyl-[acyl-carrier-protein] reductase (NADH) activity [GO:0004318]; enoyl-[acyl-carrier-protein] reductase (NADPH, B-specific) activity [GO:0004319]; enoyl-[acyl-carrier-protein] reductase activity [GO:0016631]; fatty-acyl-CoA synthase activity [GO:0004321]; myristoyl-[acyl-carrier-protein] hydrolase activity [GO:0016295]; oleoyl-[acyl-carrier-protein] hydrolase activity [GO:0004320]; palmitoyl-[acyl-carrier-protein] hydrolase activity [GO:0016296]; palmitoyltransferase activity [GO:0016409]	fatty acid synthase complex [GO:0005835]; lipid droplet [GO:0005811]	FUNCTION: Fatty acid synthetase catalyzes the formation of long-chain fatty acids from acetyl-CoA, malonyl-CoA and NADPH. The beta subunit contains domains for: [acyl-carrier-protein] acetyltransferase and malonyltransferase, S-acyl fatty acid synthase thioesterase, enoyl-[acyl-carrier-protein] reductase, and 3-hydroxypalmitoyl-[acyl-carrier-protein] dehydratase. {ECO:0000256|PIRNR:PIRNR005562}.	CATALYTIC ACTIVITY: Reaction=(9Z)-octadecenoyl-[ACP] + H2O = (9Z)-octadecenoate + H(+) + holo-[ACP]; Xref=Rhea:RHEA:15057, Rhea:RHEA-COMP:9685, Rhea:RHEA-COMP:9924, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:30823, ChEBI:CHEBI:64479, ChEBI:CHEBI:78783; EC=3.1.2.14; Evidence={ECO:0000256|PIRNR:PIRNR005562}; CATALYTIC ACTIVITY: Reaction=a (3R)-hydroxyacyl-[ACP] = a (2E)-enoyl-[ACP] + H2O; Xref=Rhea:RHEA:13097, Rhea:RHEA-COMP:9925, Rhea:RHEA-COMP:9945, ChEBI:CHEBI:15377, ChEBI:CHEBI:78784, ChEBI:CHEBI:78827; EC=4.2.1.59; Evidence={ECO:0000256|PIRNR:PIRNR005562}; CATALYTIC ACTIVITY: Reaction=a 2,3-saturated acyl-[ACP] + NAD(+) = a (2E)-enoyl-[ACP] + H(+) + NADH; Xref=Rhea:RHEA:10240, Rhea:RHEA-COMP:9925, Rhea:RHEA-COMP:9926, ChEBI:CHEBI:15378, ChEBI:CHEBI:57540, ChEBI:CHEBI:57945, ChEBI:CHEBI:78784, ChEBI:CHEBI:78785; EC=1.3.1.9; Evidence={ECO:0000256|PIRNR:PIRNR005562}; CATALYTIC ACTIVITY: Reaction=acetyl-CoA + 2n H(+) + n malonyl-CoA + 2n NADPH = a long-chain fatty acyl-CoA + n CO2 + n CoA + H2O + 2n NADP(+); Xref=Rhea:RHEA:22896, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:16526, ChEBI:CHEBI:57287, ChEBI:CHEBI:57288, ChEBI:CHEBI:57384, ChEBI:CHEBI:57783, ChEBI:CHEBI:58349, ChEBI:CHEBI:83139; EC=2.3.1.86; Evidence={ECO:0000256|PIRNR:PIRNR005562}; CATALYTIC ACTIVITY: Reaction=acetyl-CoA + holo-[ACP] = acetyl-[ACP] + CoA; Xref=Rhea:RHEA:41788, Rhea:RHEA-COMP:9621, Rhea:RHEA-COMP:9685, ChEBI:CHEBI:57287, ChEBI:CHEBI:57288, ChEBI:CHEBI:64479, ChEBI:CHEBI:78446; EC=2.3.1.38; Evidence={ECO:0000256|PIRNR:PIRNR005562}; CATALYTIC ACTIVITY: Reaction=holo-[ACP] + malonyl-CoA = CoA + malonyl-[ACP]; Xref=Rhea:RHEA:41792, Rhea:RHEA-COMP:9623, Rhea:RHEA-COMP:9685, ChEBI:CHEBI:57287, ChEBI:CHEBI:57384, ChEBI:CHEBI:64479, ChEBI:CHEBI:78449; EC=2.3.1.39; Evidence={ECO:0000256|PIRNR:PIRNR005562};												SUBUNIT: [Alpha(6)beta(6)] hexamers of two multifunctional subunits (alpha and beta). {ECO:0000256|PIRNR:PIRNR005562}.		
SPGP0CZ00520	1258.60032768781	1.10946856244468	0.141873595928028	7.82012012303904	5.27729535465473e-15	9.50633262619187e-14	S_eubayanus	SPGP0CZ00520	XP_018220878.1	A0A0L8RFG4	A0A0L8RFG4_SACEU	DI49_3206				DI49_3206	ZRT3-like protein	unreviewed	Saccharomyces eubayanus (Yeast)	503		cellular zinc ion homeostasis [GO:0006882]	zinc ion transmembrane transporter activity [GO:0005385]	cell [GO:0005623]; fungal-type vacuole membrane [GO:0000329]; integral component of membrane [GO:0016021]													"TRANSMEM 7..30;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 42..63;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 75..96;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 367..391;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 398..423;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 435..454;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius"""			
