""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	Parent	CBS1513	protein_ID	Entry	Entry name	Gene names	Gene names  (primary )	Gene names  (synonym )	Gene names  (ordered locus )	Gene names  (ORF )	Protein names	Status	Organism	Length	EC number	Gene ontology (biological process)	Gene ontology (molecular function)	Gene ontology (cellular component)	Function [CC]	Catalytic activity	Absorption	Cofactor	General annotation (ENZYME REGULATION)	Kinetics	Pathway	Redox potential	Temperature dependence	pH dependence	Subcellular location [CC]	Intramembrane	Transmembrane	Subunit structure [CC]	Interacts with	Tissue specificity
SPGP0CW00100	17962.2761747219	-1.12757863398362	0.135156410707909	-8.34276841237273	7.25712027636959e-17	5.8865518077365e-16	S_eubayanus	SPGP0CW00100	XP_018223054.1	A0A0L8RMF3	A0A0L8RMF3_SACEU	DI49_1040				DI49_1040	NOP1-like protein	unreviewed	Saccharomyces eubayanus (Yeast)	339		box C/D snoRNA 3'-end processing [GO:0000494]; histone glutamine methylation [GO:1990258]; regulation of transcription by RNA polymerase I [GO:0006356]	histone-glutamine methyltransferase activity [GO:1990259]; RNA binding [GO:0003723]; rRNA methyltransferase activity [GO:0008649]	box C/D snoRNP complex [GO:0031428]; small-subunit processome [GO:0032040]																
SPGP0CZ00100	620.452633215157	2.31114223912597	0.323972721206302	7.13375567708449	9.76666312834876e-13	5.77162354663964e-12	S_cerevisiae	SPGP0CZ00100	P40103	P40103	YE18_YEAST	YER188W			YER188W		Uncharacterized protein YER188W	reviewed	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	239																				
SPGP0CZ00110	146.398758446684	2.38837905832567	0.229686948791907	10.3984099701264	2.52104725644286e-25	3.61743808266971e-24	
SPGP0CZ00120	88.1083967142087	2.96892293013138	0.374336452286757	7.93116169156046	2.17105325991135e-15	1.58059795528956e-14	
SPGP0CZ00130	6961.13302566837	1.89659097196479	0.239527889147912	7.91803818215765	2.41287277204644e-15	1.75234145227445e-14	S_eubayanus	SPGP0CZ00130	XP_018220842.1	A0A0L8RFA0	A0A0L8RFA0_SACEU	DI49_3167				DI49_3167	Uncharacterized protein	unreviewed	Saccharomyces eubayanus (Yeast)	294																				
SPGP0CZ00140	11208.0048160465	6.63208694051375	0.307580057894624	21.5621486838587	4.07253826613052e-103	2.7824834522901e-100	S_eubayanus	SPGP0CZ00140	XP_018220843.1	A0A0L8RFB6	A0A0L8RFB6_SACEU	DI49_3168				DI49_3168	MFS domain-containing protein	unreviewed	Saccharomyces eubayanus (Yeast)	615		plasma membrane lactate transport [GO:0035879]; plasma membrane pyruvate transport [GO:0006849]; plasma membrane selenite transport [GO:0097080]	secondary active monocarboxylate transmembrane transporter activity [GO:0015355]; selenite:proton symporter activity [GO:0097079]; sialic acid transmembrane transporter activity [GO:0015136]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]													"TRANSMEM 140..164;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 176..198;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 205..224;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 230..251;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 263..284;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 296..315;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 363..382;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 402..420;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 432..450;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 456..477;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 489..509;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 532..554;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius"""			
SPGP0CZ00200	3542.2029418973	1.38323075392885	0.144203319442722	9.5922254721624	8.62051917180847e-22	9.71668163502574e-21	S_eubayanus	SPGP0CZ00200	XP_018220848.1	A0A0L8RFD8	A0A0L8RFD8_SACEU	DI49_3173				DI49_3173	TRP3-like protein	unreviewed	Saccharomyces eubayanus (Yeast)	484		glutamine metabolic process [GO:0006541]; tryptophan biosynthetic process [GO:0000162]	anthranilate synthase activity [GO:0004049]; indole-3-glycerol-phosphate synthase activity [GO:0004425]	anthranilate synthase complex [GO:0005950]																
SPGP0CZ00250	1162.46518969731	1.2609219074261	0.135304203880779	9.31916282909536	1.17261851800836e-20	1.23256777242015e-19	S_eubayanus	SPGP0CZ00250	XP_018220853.1	A0A0L8RFE3	A0A0L8RFE3_SACEU	DI49_3179				DI49_3179	Proteasome assembly chaperone 2	unreviewed	Saccharomyces eubayanus (Yeast)	267		proteasome assembly [GO:0043248]		cytosol [GO:0005829]	FUNCTION: Involved in 20S proteasome assembly. {ECO:0000256|PIRNR:PIRNR010044}.													SUBUNIT: Component of the 20S proteasome chaperone. {ECO:0000256|PIRNR:PIRNR010044}.		
SPGP0CZ00320	19.933338103248	1.55364941517167	0.511705345598518	3.03621884847507	0.00239565412562449	0.00527079513098754	S_eubayanus	SPGP0CZ00320	XP_018220859.1	A0A0L8RG33	A0A0L8RG33_SACEU	DI49_3186				DI49_3186	YKT6-like protein	unreviewed	Saccharomyces eubayanus (Yeast)	200		endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; intra-Golgi vesicle-mediated transport [GO:0006891]; vacuole fusion, non-autophagic [GO:0042144]; vesicle fusion [GO:0006906]	palmitoyltransferase activity [GO:0016409]; SNAP receptor activity [GO:0005484]	endosome [GO:0005768]; fungal-type vacuole [GO:0000324]; Golgi apparatus [GO:0005794]; integral component of membrane [GO:0016021]; SNARE complex [GO:0031201]																
SPGP0CZ00370	699.899472939825	-1.97350167299211	0.190569759414149	-10.3557966335219	3.93893711835871e-25	5.59770231764192e-24	S_eubayanus	SPGP0CZ00370	XP_018220863.1	A0A0L8RFF2	A0A0L8RFF2_SACEU	DI49_3190				DI49_3190	2-(3-amino-3-carboxypropyl)histidine synthase subunit 2 (EC 2.5.1.108)	unreviewed	Saccharomyces eubayanus (Yeast)	536	2.5.1.108	peptidyl-diphthamide biosynthetic process from peptidyl-histidine [GO:0017183]	transferase activity [GO:0016740]	cytoplasm [GO:0005737]	FUNCTION: Required for the first step in the synthesis of diphthamide, a post-translational modification of histidine which occurs in translation elongation factor 2. {ECO:0000256|RuleBase:RU364133}.	CATALYTIC ACTIVITY: Reaction=L-histidyl-[translation elongation factor 2] + S-adenosyl-L-methionine = 2-[(3S)-amino-3-carboxypropyl]-L-histidyl-[translation elongation factor 2] + H(+) + S-methyl-5'-thioadenosine; Xref=Rhea:RHEA:36783, Rhea:RHEA-COMP:9748, Rhea:RHEA-COMP:9749, ChEBI:CHEBI:15378, ChEBI:CHEBI:17509, ChEBI:CHEBI:29979, ChEBI:CHEBI:59789, ChEBI:CHEBI:73995; EC=2.5.1.108; Evidence={ECO:0000256|RuleBase:RU364133};					PATHWAY: Protein modification; peptidyl-diphthamide biosynthesis. {ECO:0000256|RuleBase:RU364133, ECO:0000256|SAAS:SAAS00738906}.				SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|RuleBase:RU364133}.					
