FM1318orthoCBS1513,Scerevisiae
XP_018221090.1,P10081
XP_018220808.1,Q06410
XP_018222865.1,Q07688
XP_018219728.1,P53899
XP_018223289.1,P38340
XP_018223618.1,P32347
XP_018220997.1,P32860
XP_018220824.1,P33442
XP_018223638.1,P32571
XP_018222312.1,P53259
XP_018221331.1,P47093
XP_018218909.1,Q02931
XP_018219821.1,P00424
XP_018218833.1,Q08961
XP_018220611.1,P14743
XP_018223647.1,P38957
XP_018223556.1,P35194
XP_018223720.1,Q12163
XP_018223281.1,P38334
XP_018221314.1,P47084
XP_018221452.1,P53746
XP_018223730.1,Q12329
XP_018223261.1,P38329
XP_018219898.1,P53730
XP_018223750.1,P53688
XP_018221941.1,P38858
XP_018223918.1,P02400
XP_018220803.1,Q06697
XP_018223562.1,P18900
XP_018219492.1,Q08746
XP_018220718.1,Q06168
XP_018222038.1,P53088
XP_018220286.1,Q05031
XP_018221637.1,P32459
XP_018221078.1,P36139
XP_018219514.1,Q99181
XP_018221086.1,Q00246
XP_018219701.1,P53874
XP_018219307.1,Q12405
XP_018223584.1,P38221
XP_018223793.1,P50108
XP_018218821.1,Q08967
XP_018222456.1,P53319
XP_018219215.1,P38742
XP_018221832.1,P38777
XP_018218960.1,Q02864
XP_018223952.1,Q04052
XP_018221422.1,P47159
XP_018222144.1,P53010
XP_018223664.1,Q03834
XP_018222931.1,Q12518
XP_018219800.1,P53941
XP_018220336.1,Q03266
XP_018222791.1,P39940
XP_018219495.1,Q08749
XP_018223851.1,Q06648
XP_018222289.1,P53249
XP_018221629.1,P40576
XP_018223767.1,Q12449
XP_018219177.1,P20133
XP_018223088.1,P38231
XP_018222394.1,P53301
XP_018222746.1,P40051
XP_018221256.1,P40363
XP_018218835.1,Q08959
XP_018221353.1,P21375
XP_018221045.1,Q02207
XP_018220296.1,Q04792
XP_018220697.1,Q12349
XP_018223151.1,P31244
XP_018224052.1,P39713
XP_018219557.1,P48581
XP_018219796.1,P17536
