LFC 13C	padj-value 13C	LFC 22C	padj-value 22C	LFC 30C	padj-value 30C	Parent	CBS1513	protein_ID	Entry	Entry name	Gene names	Gene names  (primary )	Gene names  (synonym )	Gene names  (ordered locus )	Gene names  (ORF )	Protein names	Status	Organism	Length	EC number	Gene ontology (biological process)	Gene ontology (molecular function)	Gene ontology (cellular component)	Function [CC]	Catalytic activity	Absorption	Cofactor	General annotation (ENZYME REGULATION)	Kinetics	Pathway	Redox potential	Temperature dependence	pH dependence	Subcellular location [CC]	Intramembrane	Transmembrane	Subunit structure [CC]	Interacts with	Tissue specificity
-1.15054107615445	0.00118809511559854	2.31114223912597	5.77162354663964e-12	1.84952925982208	1.68616767216736e-08	S_cerevisiae	SPGP0CZ00100	P40103	P40103	YE18_YEAST	YER188W			YER188W		Uncharacterized protein YER188W	reviewed	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	239																				
-1.16785614977135	1.26620774162945e-06	2.38837905832567	3.61743808266971e-24	1.81714086405135	4.80396649262588e-18	S. pastorianus	SPGP0CZ00110
-2.51762974743142	5.993776945337e-15	6.63208694051375	2.7824834522901e-100	3.77275180025317	3.5711843356028e-34	S_eubayanus	SPGP0CZ00140	XP_018220843.1	A0A0L8RFB6	A0A0L8RFB6_SACEU	DI49_3168				DI49_3168	MFS domain-containing protein	unreviewed	Saccharomyces eubayanus (Yeast)	615		plasma membrane lactate transport [GO:0035879]; plasma membrane pyruvate transport [GO:0006849]; plasma membrane selenite transport [GO:0097080]	secondary active monocarboxylate transmembrane transporter activity [GO:0015355]; selenite:proton symporter activity [GO:0097079]; sialic acid transmembrane transporter activity [GO:0015136]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]													"TRANSMEM 140..164;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 176..198;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 205..224;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 230..251;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 263..284;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 296..315;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 363..382;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 402..420;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 432..450;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 456..477;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 489..509;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 532..554;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius"""			
-1.26523344878783	4.27729729487505e-10	1.92479246027029	1.72672290629382e-25	2.21124204402202	2.9229043421872e-36	S_eubayanus	SPGP0CZ00410	XP_018220867.1	A0A0L8RFD9	A0A0L8RFD9_SACEU	DI49_3195				DI49_3195	Uncharacterized protein	unreviewed	Saccharomyces eubayanus (Yeast)	752		long-chain fatty acid transport [GO:0015909]		integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]													"TRANSMEM 15..36;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 546..568;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 577..605;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 625..649;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius"""			
-4.09061409101753	4.64631136173821e-05	1.53402911444439	0.000696705897176978	-2.22988406664791	9.54794251325331e-08	S. pastorianus	SPGP0CZ00630
-1.09550339788103	0.00234024869682756	2.2021341520788	1.12375229895812e-11	1.57741899724287	2.8927546656385e-08	S_eubayanus	SPGP0CZ02190	XP_018221039.1	A0A0L8RGJ2	A0A0L8RGJ2_SACEU	DI49_3375				DI49_3375	OSH6-like protein	unreviewed	Saccharomyces eubayanus (Yeast)	448		endocytosis [GO:0006897]; exocytosis [GO:0006887]; maintenance of cell polarity [GO:0030011]; piecemeal microautophagy of the nucleus [GO:0034727]; sterol homeostasis [GO:0055092]; sterol metabolic process [GO:0016125]	phosphatidic acid binding [GO:0070300]; phosphatidylinositol-3,4-bisphosphate binding [GO:0043325]; phosphatidylinositol-3,5-bisphosphate binding [GO:0080025]; phosphatidylinositol-4-phosphate binding [GO:0070273]; phosphatidylinositol-5-phosphate binding [GO:0010314]; phosphatidylserine binding [GO:0001786]; phospholipid transporter activity [GO:0005548]; sterol transfer activity [GO:0120015]	cortical endoplasmic reticulum [GO:0032541]; extrinsic component of membrane [GO:0019898]																
-2.50711215195141	1.19097260939299e-23	1.32499480046734	9.92814029211886e-08	1.34912275339719	6.20628533589903e-08	S_eubayanus	SPGP0CZ02260	XP_018221046.1	A0A0L8RFV1	A0A0L8RFV1_SACEU	DI49_3383				DI49_3383	TOF2-like protein	unreviewed	Saccharomyces eubayanus (Yeast)	771		chromatin silencing at rDNA [GO:0000183]; protein localization to nucleolar rDNA repeats [GO:0034503]; rDNA condensation [GO:0070550]	phosphatase activator activity [GO:0019211]	nucleolus [GO:0005730]																
-4.90312341224054	1.199753149015e-24	2.83305552903158	6.56008979088766e-11	1.45898667037149	0.00103934821373488	S_eubayanus	SPGP0CZ02270	XP_018221047.1	A0A0L8RFV6	A0A0L8RFV6_SACEU	DI49_3384				DI49_3384	Uncharacterized protein	unreviewed	Saccharomyces eubayanus (Yeast)	357																				
3.05284688216525	5.63453618308882e-66	3.79049555867527	5.17666848682675e-103	4.07106720422835	2.24382547068012e-123	S_eubayanus	SPGP0CZ02560	XP_018221076.1	A0A0L8RFX9	A0A0L8RFX9_SACEU	DI49_3416				DI49_3416	UIP5-like protein	unreviewed	Saccharomyces eubayanus (Yeast)	440				integral component of membrane [GO:0016021]; nuclear envelope [GO:0005635]													"TRANSMEM 393..416;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius"""			
1.20501756601859	0.0260845782522554	2.01741948577804	6.45660485648184e-05	2.06816824945254	4.38576873943433e-07	S_eubayanus	SPGP0CZ02580	XP_018221078.1	A0A0L8RG05	A0A0L8RG05_SACEU	DI49_3418				DI49_3418	PET10-like protein	unreviewed	Saccharomyces eubayanus (Yeast)	283		aerobic respiration [GO:0009060]		lipid droplet [GO:0005811]																
